Estimator,MSE,alpha_multiplier
ips_estimator,0.0012874126131096177,0.7
Direct,0.005972650516484844,0.7
doubly robust estimator,0.0010745919991901874,0.7
cmebis,0.0009688546146727818,0.7
dr_bis,0.0009876463925873704,0.7
ips_estimator,0.0009487479499358139,0.7
Direct,0.005484323305026183,0.7
doubly robust estimator,0.003306000773981859,0.7
cmebis,2.359533519011812e-05,0.7
dr_bis,2.3491296466935303e-05,0.7
ips_estimator,6.987245191607747e-05,0.7
Direct,0.0017163927715231145,0.7
doubly robust estimator,0.0005818287826412048,0.7
cmebis,0.00033664190703280107,0.7
dr_bis,0.0003368063123960721,0.7
ips_estimator,0.003796204143546278,0.7
Direct,0.002183061458541045,0.7
doubly robust estimator,0.0017313858317304124,0.7
cmebis,0.00024357372496496582,0.7
dr_bis,0.0002843647051529619,0.7
ips_estimator,0.0006794851919554334,0.7
Direct,0.002994493748647222,0.7
doubly robust estimator,0.00011782186715886096,0.7
cmebis,6.129181452814974e-05,0.7
dr_bis,0.0004033759842546457,0.7
ips_estimator,0.00022077994596011926,0.7
Direct,0.0027999765813572853,0.7
doubly robust estimator,0.0010591765887943746,0.7
cmebis,0.0004839701876281064,0.7
dr_bis,0.00021377958410813275,0.7
ips_estimator,0.00010858979816655897,0.7
Direct,0.0032995148780755744,0.7
doubly robust estimator,0.0006410723963552516,0.7
cmebis,0.00036199906264035693,0.7
dr_bis,0.00036174262115690913,0.7
ips_estimator,0.003456960539032846,0.7
Direct,0.0009721165056140816,0.7
doubly robust estimator,0.002646747180640846,0.7
cmebis,0.0006243685397569998,0.7
dr_bis,0.00048311949729807724,0.7
ips_estimator,0.0012967890694826735,0.7
Direct,0.00021266127975113808,0.7
doubly robust estimator,0.0019359151439443064,0.7
cmebis,8.919135551418942e-05,0.7
dr_bis,8.922844274901729e-05,0.7
ips_estimator,0.000498299299551581,0.7
Direct,0.007663503051148663,0.7
doubly robust estimator,0.0003936552070573151,0.7
cmebis,2.4581187568031947e-07,0.7
dr_bis,5.680552541066946e-05,0.7
ips_estimator,0.0009392862232148062,0.7
Direct,0.003779862168127836,0.7
doubly robust estimator,0.0009855043549505257,0.7
cmebis,0.0005721744189087954,0.7
dr_bis,0.00035359590403049,0.7
ips_estimator,4.43576330415563e-05,0.7
Direct,0.0030826235253940534,0.7
doubly robust estimator,0.0008501148739352924,0.7
cmebis,0.0002518797542222165,0.7
dr_bis,0.00022331111182253804,0.7
ips_estimator,0.0016133028165924742,0.7
Direct,0.002540579972496567,0.7
doubly robust estimator,0.0017861544939547734,0.7
