Estimator,MSE,alpha_multiplier
ips_estimator,0.01436154814871502,-0.3
Direct,0.19980240957354048,-0.3
doubly robust estimator,0.14945744808152173,-0.3
cmebis,2.2056518433816368e-05,-0.3
dr_bis,2.198908303792944e-05,-0.3
ips_estimator,0.016101223780295357,-0.3
Direct,0.19670351978565856,-0.3
doubly robust estimator,0.11777199147007196,-0.3
cmebis,0.00013360869362779082,-0.3
dr_bis,0.0001334521714248414,-0.3
ips_estimator,0.08571442101380643,-0.3
Direct,0.1876898374280743,-0.3
doubly robust estimator,0.17261401103288904,-0.3
cmebis,0.020154878554802615,-0.3
dr_bis,0.020385284503983768,-0.3
ips_estimator,0.0743499843424996,-0.3
Direct,0.17049524230502736,-0.3
doubly robust estimator,0.14280540709681624,-0.3
cmebis,0.039515254976474165,-0.3
dr_bis,0.039514997762657496,-0.3
ips_estimator,0.0256752463027143,-0.3
Direct,0.19359195183535347,-0.3
doubly robust estimator,0.13089987643671577,-0.3
cmebis,0.022844801496276986,-0.3
dr_bis,0.022842936498683134,-0.3
ips_estimator,0.009327960148296168,-0.3
Direct,0.14618892859061253,-0.3
doubly robust estimator,0.13605658399893292,-0.3
cmebis,0.045853259560293666,-0.3
dr_bis,0.03696029288183418,-0.3
ips_estimator,0.03993634481838175,-0.3
Direct,0.1815050172340207,-0.3
doubly robust estimator,0.15219634774783528,-0.3
cmebis,0.00968971730744349,-0.3
dr_bis,0.009689384440108018,-0.3
ips_estimator,0.02822718812364808,-0.3
Direct,0.1882150060713863,-0.3
doubly robust estimator,0.11210532669937102,-0.3
cmebis,0.029161842134239575,-0.3
dr_bis,0.028194293257752464,-0.3
ips_estimator,0.04545987597855877,-0.3
Direct,0.17529655400156371,-0.3
doubly robust estimator,0.15150752217271843,-0.3
cmebis,0.009742655587213305,-0.3
dr_bis,0.009320536735990469,-0.3
ips_estimator,0.02364178354534554,-0.3
Direct,0.19568369396203997,-0.3
doubly robust estimator,0.14879984083364695,-0.3
cmebis,0.04581663285735763,-0.3
dr_bis,0.04189553179366943,-0.3
ips_estimator,0.038807639033976146,-0.3
Direct,0.17438003309065492,-0.3
doubly robust estimator,0.13174894374523768,-0.3
cmebis,0.008404723981456795,-0.3
dr_bis,0.008828139979937337,-0.3
ips_estimator,0.049347007745461975,-0.3
Direct,0.17485949667782183,-0.3
doubly robust estimator,0.11263161068042327,-0.3
cmebis,0.04271907525250888,-0.3
dr_bis,0.04074915952012697,-0.3
ips_estimator,0.049460069536515425,-0.3
Direct,0.15983907513683968,-0.3
doubly robust estimator,0.13203199038136942,-0.3
cmebis,0.01193354842986799,-0.3
dr_bis,0.011933908608495032,-0.3
ips_estimator,0.02618276132380275,-0.3
Direct,0.16176687257056702,-0.3
doubly robust estimator,0.16018932741476594,-0.3
cmebis,0.0454669149600661,-0.3
dr_bis,0.04002052490662586,-0.3
ips_estimator,0.028450391172670633,-0.3
Direct,0.18337101790634053,-0.3
doubly robust estimator,0.14305579111812322,-0.3
cmebis,0.00731211609288636,-0.3
dr_bis,0.007311735268962708,-0.3
ips_estimator,0.05913937776029008,-0.3
Direct,0.1656725406932044,-0.3
doubly robust estimator,0.1428021440574306,-0.3
cmebis,0.007803553196808018,-0.3
dr_bis,0.007803854896878576,-0.3
ips_estimator,0.029199633629902886,-0.3
Direct,0.17174084307683848,-0.3
doubly robust estimator,0.12455653532873663,-0.3
cmebis,0.04668840491594017,-0.3
dr_bis,0.04407408156944746,-0.3
ips_estimator,0.04539142877160168,-0.3
Direct,0.2193817497107458,-0.3
doubly robust estimator,0.15175435232549828,-0.3
cmebis,0.05167115778149822,-0.3
dr_bis,0.04671189165712597,-0.3
ips_estimator,0.03437584180249132,-0.3
Direct,0.13558604040928043,-0.3
doubly robust estimator,0.13670706383711737,-0.3
cmebis,0.02583973045326149,-0.3
dr_bis,0.02359157553754523,-0.3
ips_estimator,0.02547706152966096,-0.3
Direct,0.15056029711004254,-0.3
doubly robust estimator,0.15404464954702693,-0.3
cmebis,0.01670358921766882,-0.3
dr_bis,0.014705501309610314,-0.3
ips_estimator,0.025995293297759278,-0.3
Direct,0.15521329139221562,-0.3
doubly robust estimator,0.13294327987937463,-0.3
cmebis,0.0057922654620491615,-0.3
dr_bis,0.005791799098127209,-0.3
