Estimator,MSE,alpha_multiplier
ips_estimator,0.025157440204169344,-0.9
Direct,0.23500219605804976,-0.9
doubly robust estimator,0.22481167952666664,-0.9
cmebis,0.1294282636650424,-0.9
dr_bis,0.11085321493818104,-0.9
ips_estimator,0.014797484140456561,-0.9
Direct,0.1866259439671595,-0.9
doubly robust estimator,0.1365254059077278,-0.9
cmebis,0.10192311429865081,-0.9
dr_bis,0.08722821097339398,-0.9
ips_estimator,0.08948168258266917,-0.9
Direct,0.18508072618887708,-0.9
doubly robust estimator,0.11405382624828213,-0.9
cmebis,0.11296059012551815,-0.9
dr_bis,0.1118164673154258,-0.9
ips_estimator,0.1991869934947633,-0.9
Direct,0.168165900236252,-0.9
doubly robust estimator,0.21156497699029111,-0.9
cmebis,0.10899145444837191,-0.9
dr_bis,0.11471437173937772,-0.9
ips_estimator,0.0518928860593103,-0.9
Direct,0.15923362198032945,-0.9
doubly robust estimator,0.17583684343212366,-0.9
cmebis,0.05703437691510356,-0.9
dr_bis,0.05703503380514406,-0.9
ips_estimator,0.07954549540367463,-0.9
Direct,0.16409618503026227,-0.9
doubly robust estimator,0.09956681341677176,-0.9
cmebis,0.038644934957938824,-0.9
dr_bis,0.03805785371428182,-0.9
ips_estimator,0.07419152744725524,-0.9
Direct,0.1331039755020609,-0.9
doubly robust estimator,0.12163754773715513,-0.9
cmebis,0.105779389586742,-0.9
dr_bis,0.10098424803669315,-0.9
ips_estimator,0.0455872039712314,-0.9
Direct,0.16572697129129788,-0.9
doubly robust estimator,0.05699387993678866,-0.9
cmebis,0.08470187144404491,-0.9
dr_bis,0.0798196020824055,-0.9
ips_estimator,0.11139278900808162,-0.9
Direct,0.20983469969516044,-0.9
doubly robust estimator,0.13764977696198263,-0.9
cmebis,0.14065767094052767,-0.9
dr_bis,0.13984990994947288,-0.9
ips_estimator,0.05566981042291733,-0.9
Direct,0.16278253593681158,-0.9
doubly robust estimator,0.1119614947168147,-0.9
cmebis,0.10458291292511807,-0.9
dr_bis,0.10004752837957834,-0.9
ips_estimator,0.08773517091599833,-0.9
Direct,0.1504085775896858,-0.9
doubly robust estimator,0.09801281383582709,-0.9
cmebis,0.09032349833018014,-0.9
dr_bis,0.08819093985634152,-0.9
ips_estimator,0.06451435692694907,-0.9
Direct,0.16368349800501247,-0.9
