Estimator,MSE,context_dim
ips_estimator,0.01293233316555394,5
Direct,0.04292543424134524,5
doubly robust estimator,0.001905173992630681,5
cmebis,0.003514646449641413,5
dr_bis,0.0035206001792645815,5
ips_estimator,0.011192555926474872,5
Direct,0.04244729788855748,5
doubly robust estimator,0.00016622975436867584,5
cmebis,3.6082882649825704e-05,5
dr_bis,4.97143128099232e-05,5
ips_estimator,0.01942252943128676,5
Direct,0.04459068294559413,5
doubly robust estimator,0.0018845220535508083,5
cmebis,0.004647539391784952,5
dr_bis,0.004646584513988058,5
ips_estimator,0.013727636263453184,5
Direct,0.04298022804980938,5
doubly robust estimator,0.0096476379104711,5
cmebis,0.0015105088127899628,5
dr_bis,0.0010390614724341376,5
ips_estimator,0.016306740677358864,5
Direct,0.05184395458271099,5
doubly robust estimator,0.002202658535418371,5
cmebis,1.405988264009648e-05,5
dr_bis,3.281441568876262e-05,5
ips_estimator,0.01199112634748773,5
Direct,0.017045798362108823,5
doubly robust estimator,0.001845416153736771,5
cmebis,0.002598000596524044,5
dr_bis,0.0026189017454120683,5
ips_estimator,0.021757981921439313,5
Direct,0.016941061119912046,5
doubly robust estimator,0.008318067609657538,5
cmebis,0.002675227870252183,5
dr_bis,0.0025743092513440726,5
ips_estimator,0.013809985899942527,5
Direct,0.04232957074623411,5
doubly robust estimator,0.003532231563184995,5
cmebis,0.0020590361450718137,5
dr_bis,0.002064160565307636,5
ips_estimator,0.015859731347967584,5
Direct,0.0456460299933542,5
doubly robust estimator,0.0052111613317332595,5
cmebis,0.0008294212356490698,5
dr_bis,0.0008544121859262147,5
ips_estimator,0.01658977040901514,5
Direct,0.01743504183896835,5
doubly robust estimator,0.008285731633598687,5
cmebis,0.0004230882503083295,5
dr_bis,0.00028484397865006757,5
ips_estimator,0.01777805641705845,10
Direct,0.13981215928818083,10
doubly robust estimator,0.03360779227850503,10
cmebis,0.0021014305325526075,10
dr_bis,0.0021024177033422474,10
ips_estimator,0.0164119902686507,10
Direct,0.10205832470624615,10
doubly robust estimator,0.03167615206408347,10
cmebis,0.016178172355537423,10
dr_bis,0.010476011702671893,10
ips_estimator,0.020250825409360178,10
Direct,0.13129367584919263,10
doubly robust estimator,0.026310025399286188,10
cmebis,0.021947424041033618,10
dr_bis,0.015147165900452519,10
ips_estimator,0.026582003662470162,10
Direct,0.16210157360079774,10
doubly robust estimator,0.07179458983952401,10
cmebis,0.0022786137953757853,10
dr_bis,0.002275583426630273,10
ips_estimator,0.02670738654285855,10
Direct,0.10980485035761564,10
doubly robust estimator,0.059720712975083544,10
cmebis,0.018861457512118884,10
dr_bis,0.014946156189346513,10
ips_estimator,0.012395957150971434,10
Direct,0.08976665420895259,10
doubly robust estimator,0.009906162686186064,10
cmebis,0.01214873260643294,10
dr_bis,0.0073739340433676215,10
ips_estimator,0.030635541443526766,10
Direct,0.14275777761281697,10
doubly robust estimator,0.019583083266316702,10
cmebis,0.00014281570539605214,10
dr_bis,0.00014263950943285773,10
ips_estimator,0.03298691017217605,10
Direct,0.07660769337108295,10
doubly robust estimator,0.02808019938109233,10
cmebis,0.0019941352851846816,10
dr_bis,0.0018496460957299404,10
ips_estimator,0.03147992739714497,10
Direct,0.11336432861478885,10
doubly robust estimator,0.06973536280204128,10
cmebis,0.00040243677921521654,10
dr_bis,0.0003406358411056223,10
ips_estimator,0.01666010664117596,10
Direct,0.0724733761649503,10
doubly robust estimator,0.026199799191657387,10
cmebis,0.0025771786576516908,10
dr_bis,0.0025773337361875938,10
ips_estimator,0.007624150549212646,15
Direct,0.1579791445372449,15
doubly robust estimator,0.051758883608049124,15
cmebis,0.00015080396230581392,15
dr_bis,0.00015086296619716013,15
ips_estimator,0.03972169216535305,15
Direct,0.14226562448908134,15
doubly robust estimator,0.07352824591259,15
