Estimator,MSE,context_dim
ips_estimator,0.025575179746342974,5
Direct,0.05846403643186168,5
doubly robust estimator,0.06095096286306043,5
cmebis,0.0022269314266045457,5
dr_bis,0.0025098045934398346,5
ips_estimator,0.023127942341441887,5
Direct,0.04413524552951048,5
doubly robust estimator,0.031085580841314353,5
cmebis,0.013684395415404579,5
dr_bis,0.013640042795513788,5
ips_estimator,0.025844126656901327,5
Direct,0.02518155921342666,5
doubly robust estimator,0.023812928929442517,5
cmebis,5.42683379832396e-05,5
dr_bis,7.83686766132507e-05,5
ips_estimator,0.01641416226021421,5
Direct,0.021476414653124772,5
doubly robust estimator,0.026786253333416603,5
cmebis,0.002560881693037795,5
dr_bis,0.0025554644876145016,5
ips_estimator,0.014981925050960026,5
Direct,0.04682483324887935,5
doubly robust estimator,0.016289529047855144,5
cmebis,0.001232835451416175,5
dr_bis,0.0013372482600193618,5
ips_estimator,0.015308699327869777,5
Direct,0.04941273607304124,5
doubly robust estimator,0.01685888575977907,5
cmebis,0.0036501443763163536,5
dr_bis,0.003439090548771656,5
ips_estimator,0.012073697069074943,5
Direct,0.0331842161159798,5
doubly robust estimator,0.024753617135656557,5
cmebis,0.006953187144673352,5
dr_bis,0.003398637847813329,5
ips_estimator,0.015303237510810782,5
Direct,0.05447030565738727,5
doubly robust estimator,0.02094008192911354,5
cmebis,0.0002059989694780487,5
dr_bis,0.00020618659010894158,5
ips_estimator,0.008013238276647143,5
Direct,0.058484386805157204,5
doubly robust estimator,0.014525446595826328,5
cmebis,0.0028503956589213775,5
dr_bis,0.002885915659768795,5
ips_estimator,0.02531138390844889,5
Direct,0.05422076462438339,5
doubly robust estimator,0.03191815210799042,5
cmebis,0.005710849819105128,5
dr_bis,0.005912489036445386,5
ips_estimator,0.01707080626628812,5
Direct,0.0664533137608498,5
doubly robust estimator,0.03944563710773731,5
cmebis,0.0035316304960017154,5
dr_bis,0.0024828655144262784,5
ips_estimator,0.026470633156664463,5
Direct,0.04371151721628955,5
doubly robust estimator,0.031730087425155394,5
cmebis,0.004964527670893879,5
dr_bis,0.004803104831665267,5
ips_estimator,0.01209642433857662,5
Direct,0.02549106781893328,5
doubly robust estimator,0.01338108095411816,5
cmebis,4.145700254150375e-05,5
dr_bis,0.00015987406228805406,5
ips_estimator,0.03353222064472634,5
Direct,0.05271903433086643,5
doubly robust estimator,0.03281380093549301,5
cmebis,0.003305812858492219,5
dr_bis,0.0034366413481274074,5
ips_estimator,0.013730323381170159,5
Direct,0.04031708346633957,5
doubly robust estimator,0.01769428912357032,5
cmebis,0.0007378460474936027,5
dr_bis,0.0007394549812711446,5
ips_estimator,0.020099263821650167,5
Direct,0.03110714957311329,5
doubly robust estimator,0.02154565236605202,5
cmebis,0.012022508262472465,5
dr_bis,0.012023801089277347,5
ips_estimator,0.011334306238729852,5
Direct,0.049606163684895115,5
doubly robust estimator,0.0225841699878489,5
cmebis,0.00642510308368588,5
dr_bis,0.005009787058177311,5
ips_estimator,0.030117360202620597,5
Direct,0.07711431807273318,5
doubly robust estimator,0.043881443588238866,5
cmebis,0.017282503132596362,5
dr_bis,0.01743190779140177,5
ips_estimator,0.02319072839659467,5
Direct,0.06654593207817767,5
doubly robust estimator,0.02751452453622284,5
cmebis,0.007282115387807355,5
dr_bis,0.0064071539233684326,5
ips_estimator,0.009062577145679224,5
Direct,0.04611065684994801,5
doubly robust estimator,0.0159336228662033,5
cmebis,0.0005271058068200345,5
dr_bis,0.0005273286068106377,5
ips_estimator,0.01621303393039614,5
Direct,0.05302455244567482,5
doubly robust estimator,0.010370687951759303,5
cmebis,0.00044749902814492494,5
dr_bis,0.00022102906994126253,5
ips_estimator,0.021665768958507033,5
Direct,0.045653100721741294,5
doubly robust estimator,0.03607694049433601,5
cmebis,0.0009284532684546496,5
dr_bis,0.0008571702074881354,5
ips_estimator,0.03789619181169867,5
Direct,0.04441695364145941,5
doubly robust estimator,0.03295165723058372,5
cmebis,0.008190065133118792,5
dr_bis,0.010095874188418301,5
ips_estimator,0.012084067834594038,5
Direct,0.0511174192184264,5
doubly robust estimator,0.013233390464878666,5
cmebis,0.0006075939911421237,5
dr_bis,0.00041775050036354865,5
ips_estimator,0.015621226080593862,5
Direct,0.03088934940963285,5
doubly robust estimator,0.03235627020438979,5
cmebis,0.0007316793856140038,5
dr_bis,0.0007308007735708859,5
ips_estimator,0.008671437737601118,5
Direct,0.03986074362881397,5
doubly robust estimator,0.014441250500816183,5
cmebis,0.0003807327044401267,5
dr_bis,0.00037647459818255813,5
ips_estimator,0.033632855257726205,5
Direct,0.04636182267678595,5
doubly robust estimator,0.02056570025224928,5
cmebis,0.004093838795721618,5
dr_bis,0.004088277155491154,5
ips_estimator,0.009307800985254909,5
Direct,0.027016042348160227,5
doubly robust estimator,0.006713484512854275,5
cmebis,1.800096424597324e-05,5
dr_bis,1.0135150617636089e-05,5
ips_estimator,0.019530776079349325,5
Direct,0.06059542186015404,5
doubly robust estimator,0.019996324130126333,5
cmebis,0.004935979987680279,5
dr_bis,0.004934838267088876,5
ips_estimator,0.03586172905967883,5
Direct,0.04593863394547171,5
doubly robust estimator,0.03159418210958513,5
cmebis,0.0011185768139940554,5
dr_bis,0.0023003227752128393,5
ips_estimator,0.014611703817519915,10
Direct,0.14535939993396157,10
doubly robust estimator,0.12017429885210527,10
cmebis,0.00034280352543325596,10
dr_bis,0.00034272379430270116,10
ips_estimator,0.0551155719238445,10
Direct,0.15484080764987185,10
doubly robust estimator,0.1522222940532884,10
cmebis,0.014602755116787932,10
dr_bis,0.014603106746791541,10
ips_estimator,0.011388409585169715,10
Direct,0.13121282749932311,10
doubly robust estimator,0.09062252605079917,10
cmebis,0.011975784018286258,10
dr_bis,0.011974477882003984,10
ips_estimator,0.03889273777397663,10
Direct,0.13909352536482572,10
doubly robust estimator,0.10222461577992557,10
cmebis,0.001976097928203829,10
dr_bis,0.0019757873425795915,10
ips_estimator,0.006777997200682924,10
Direct,0.10422509657532578,10
doubly robust estimator,0.07060120029557052,10
cmebis,0.0043241581263368176,10
dr_bis,0.004323692510283996,10
ips_estimator,0.022507808225806166,10
Direct,0.1131744974843466,10
doubly robust estimator,0.0731277338039433,10
cmebis,0.03484449518565291,10
dr_bis,0.03294254971413861,10
ips_estimator,0.010797930268733786,10
Direct,0.1187634185711116,10
doubly robust estimator,0.07909293526527748,10
cmebis,0.03382478607439488,10
dr_bis,0.029137803042684957,10
ips_estimator,0.004212274137927995,10
Direct,0.10703996355134586,10
doubly robust estimator,0.08242575277302763,10
cmebis,0.0006924430026611083,10
dr_bis,0.0007128543637712552,10
ips_estimator,0.008966179807534553,10
Direct,0.08188196254921225,10
doubly robust estimator,0.08498839228761158,10
cmebis,0.006727914987724785,10
dr_bis,0.006727417843926262,10
ips_estimator,0.005656202911016615,10
Direct,0.13821136047212523,10
doubly robust estimator,0.10130345018669636,10
cmebis,0.0005829868696823568,10
dr_bis,0.0003144767964324598,10
ips_estimator,0.017258742198274397,10
Direct,0.1186703704908855,10
doubly robust estimator,0.08631380941145002,10
cmebis,0.01686218570762075,10
dr_bis,0.012495905775346929,10
ips_estimator,0.009118111809588915,10
Direct,0.09513685103312966,10
doubly robust estimator,0.08364621808022812,10
cmebis,0.020139540901663387,10
dr_bis,0.01624764437553735,10
ips_estimator,0.09400192317868235,10
Direct,0.14091660646327908,10
doubly robust estimator,0.11379400216937333,10
cmebis,0.005160818036643969,10
dr_bis,0.005162314664718385,10
ips_estimator,0.015346098799709648,10
Direct,0.18372421085658303,10
doubly robust estimator,0.0944015179090987,10
cmebis,0.019292902577366638,10
dr_bis,0.014023077529139073,10
ips_estimator,0.03487239771992952,10
Direct,0.1806315494892638,10
doubly robust estimator,0.1261137635637771,10
cmebis,0.024291803055471343,10
dr_bis,0.02231043042498745,10
ips_estimator,0.015852840047841113,10
Direct,0.15930464546384437,10
doubly robust estimator,0.11409076451266477,10
cmebis,0.03389275291414429,10
dr_bis,0.028264506858828642,10
ips_estimator,0.048374030235501526,10
Direct,0.1298492542896252,10
doubly robust estimator,0.11537583057466094,10
cmebis,0.03352480007960189,10
dr_bis,0.030990516845212025,10
ips_estimator,0.050960534521525845,10
Direct,0.1448770573088778,10
doubly robust estimator,0.10624950334620387,10
cmebis,0.028960070984074604,10
dr_bis,0.02932198143496477,10
ips_estimator,0.011611960011438995,10
Direct,0.1395218905230301,10
doubly robust estimator,0.08371012906986743,10
cmebis,0.029940960549971096,10
dr_bis,0.026001556090418848,10
ips_estimator,0.03977552664455,10
Direct,0.18382222320316027,10
doubly robust estimator,0.1081787562380707,10
cmebis,0.029998636441789215,10
dr_bis,0.028667909433742297,10
ips_estimator,0.013573166712072388,10
Direct,0.1422550784781717,10
doubly robust estimator,0.09223086653197089,10
cmebis,0.012554667401457569,10
dr_bis,0.011682430760352986,10
ips_estimator,0.02928292411386362,10
Direct,0.16266161421767553,10
doubly robust estimator,0.10569311999960664,10
cmebis,0.0003541727472027959,10
dr_bis,0.0003542241174557843,10
ips_estimator,0.02228096921852089,10
Direct,0.15649961232065834,10
doubly robust estimator,0.08476892696277094,10
cmebis,0.005912609308959005,10
dr_bis,0.005367047046554019,10
ips_estimator,0.032644270392552556,10
Direct,0.1350663091792075,10
doubly robust estimator,0.1072113430900099,10
cmebis,0.0005973666917805043,10
dr_bis,0.0005974085549246469,10
ips_estimator,0.024666515972503206,10
Direct,0.1516039081175443,10
doubly robust estimator,0.12876924272849485,10
cmebis,0.0007944012996571049,10
dr_bis,0.0007943892671533078,10
ips_estimator,0.006040202523574742,10
Direct,0.08536144210012024,10
doubly robust estimator,0.10416317912406715,10
cmebis,0.000579802085586881,10
dr_bis,0.0005644405816494737,10
