Estimator,MSE,Observation Size
ips_estimator,0.06806616377459679,100
Direct,0.1514744905990174,100
doubly robust estimator,0.11477652467199768,100
cmebis,0.15487194710608362,100
dr_bis,0.1537811385537301,100
ips_estimator,0.00025644336619926457,100
Direct,0.08337304601800885,100
doubly robust estimator,0.3015380243219857,100
cmebis,0.11707624936060541,100
dr_bis,0.11707505792822484,100
ips_estimator,0.027836709186300265,100
Direct,0.05159906960625771,100
doubly robust estimator,0.08187197829246223,100
cmebis,0.023844181298764894,100
dr_bis,0.023843607997061592,100
ips_estimator,0.05367069980213726,100
Direct,0.13778996042163397,100
doubly robust estimator,0.26422909478971685,100
cmebis,0.2026678352902503,100
dr_bis,0.2026677304247829,100
ips_estimator,0.0018689523045611045,100
Direct,9.767342305977422e-05,100
doubly robust estimator,0.02468786246242799,100
cmebis,0.009587179441594325,100
dr_bis,0.009586522340591123,100
ips_estimator,0.055860410478728036,1000
Direct,0.2017906238070028,1000
doubly robust estimator,0.11947984316808907,1000
cmebis,0.04811264767266258,1000
dr_bis,0.04084555116961036,1000
ips_estimator,0.06185894772815968,1000
Direct,0.13692321525756984,1000
doubly robust estimator,0.11100793846303883,1000
cmebis,0.012366168915190906,1000
dr_bis,0.012372577183337763,1000
ips_estimator,0.049602439255299426,1000
Direct,0.1685232124573035,1000
doubly robust estimator,0.16848044430123915,1000
cmebis,0.13799269443890344,1000
dr_bis,0.117587427466963,1000
ips_estimator,0.07300838330336464,1000
Direct,0.17523487714423644,1000
doubly robust estimator,0.14086227954465497,1000
cmebis,0.1410524903348303,1000
dr_bis,0.12595689042840108,1000
ips_estimator,0.05517123008459421,1000
Direct,0.122879626607905,1000
doubly robust estimator,0.1312154851710295,1000
cmebis,0.012509694946010494,1000
dr_bis,0.012509790033191177,1000
ips_estimator,0.04343737382598346,5000
Direct,0.11122377620181077,5000
doubly robust estimator,0.03830201700753213,5000
cmebis,0.0013278791874902919,5000
dr_bis,0.0017640933982688127,5000
ips_estimator,0.04016309989840894,5000
Direct,0.11707203127312944,5000
doubly robust estimator,0.021981860397922187,5000
cmebis,0.010754561394049436,5000
dr_bis,0.010145916209001404,5000
ips_estimator,0.03620465294207844,5000
Direct,0.10604066232022373,5000
doubly robust estimator,0.02057159330523726,5000
cmebis,0.017191880518705818,5000
dr_bis,0.014273974821485671,5000
ips_estimator,0.01127395572801038,5000
Direct,0.11053910137734105,5000
doubly robust estimator,0.04156807178014482,5000
cmebis,8.98032366706595e-09,5000
dr_bis,7.136648953587268e-05,5000
ips_estimator,0.021820285443228418,5000
Direct,0.13024320582890686,5000
doubly robust estimator,0.040287287268997364,5000
cmebis,0.00020679552619810352,5000
dr_bis,0.0002076626291498475,5000
