Estimator,MSE,Observation Size
ips_estimator,0.0005101941702342081,100
Direct,0.10377421253977125,100
doubly robust estimator,0.11124381936017444,100
cmebis,0.11346266966100735,100
dr_bis,0.0802184616187676,100
ips_estimator,0.014469053766407334,100
Direct,0.16046940467614884,100
doubly robust estimator,0.2278578871961723,100
cmebis,0.1489903558367055,100
dr_bis,0.14898997240693254,100
ips_estimator,0.04173537447591059,100
Direct,0.03603641570500126,100
doubly robust estimator,0.10972654585274526,100
cmebis,0.06848189874460411,100
dr_bis,0.07052237089769131,100
ips_estimator,7.357998350559775e-06,100
Direct,0.10063513944482293,100
doubly robust estimator,0.13739756565398628,100
cmebis,0.13226435924329394,100
dr_bis,0.10618969165123557,100
ips_estimator,0.10100154381896014,100
Direct,0.02598904785334002,100
doubly robust estimator,0.31470036377426874,100
cmebis,0.16753714298198324,100
dr_bis,0.16753722294592024,100
ips_estimator,0.0030474288287940976,100
Direct,0.05906720862883104,100
doubly robust estimator,0.10570088217888285,100
cmebis,0.13324564102660205,100
dr_bis,0.1118645962591057,100
ips_estimator,0.16890986846907116,100
Direct,0.09677214913171091,100
doubly robust estimator,0.15947682485175746,100
cmebis,0.14240349638777094,100
dr_bis,0.14329418026963042,100
ips_estimator,0.12920534173631254,100
Direct,0.09974150071202535,100
doubly robust estimator,0.113491671181922,100
cmebis,0.08448522441334542,100
dr_bis,0.09865923147503403,100
ips_estimator,0.0007597671324891884,100
Direct,0.2102085904483072,100
doubly robust estimator,0.23280215422572356,100
cmebis,0.12708865946393072,100
dr_bis,0.11956973056349679,100
ips_estimator,0.007946629189635287,100
Direct,0.0416287784122572,100
doubly robust estimator,0.09794724550120174,100
cmebis,0.0915067147174011,100
dr_bis,0.0584640374978546,100
ips_estimator,0.04052247285572285,1000
Direct,0.17234133370872512,1000
doubly robust estimator,0.1744822664311052,1000
cmebis,0.06524712871174304,1000
dr_bis,0.06098546039190371,1000
ips_estimator,0.0011552596310301136,1000
Direct,0.22493308538318685,1000
doubly robust estimator,0.17119424916068682,1000
cmebis,0.14551597317392514,1000
dr_bis,0.11645014592681686,1000
ips_estimator,0.0006056390019538933,1000
Direct,0.21664422788581272,1000
doubly robust estimator,0.1542117392256658,1000
cmebis,0.0721916022770694,1000
dr_bis,0.06617440421932444,1000
ips_estimator,0.09672150681025497,1000
Direct,0.21697665293701185,1000
doubly robust estimator,0.242682668010721,1000
cmebis,0.041618481693434614,1000
dr_bis,0.041619308863087456,1000
ips_estimator,0.07359689039289814,1000
Direct,0.26381634669683285,1000
doubly robust estimator,0.22860878108096927,1000
cmebis,0.02939461228168144,1000
dr_bis,0.029394468629753027,1000
ips_estimator,0.04439300172409317,1000
Direct,0.19544197602845106,1000
doubly robust estimator,0.1626707294187467,1000
cmebis,0.041916337074579806,1000
dr_bis,0.040851950532323336,1000
ips_estimator,0.04336461428581687,1000
Direct,0.2043842869236695,1000
doubly robust estimator,0.1606419858250981,1000
cmebis,0.058037405381835744,1000
dr_bis,0.05762022146515675,1000
ips_estimator,0.03107068740412029,1000
Direct,0.14597571474321328,1000
doubly robust estimator,0.1478736210916072,1000
cmebis,0.11104190003614414,1000
dr_bis,0.10490979346953982,1000
ips_estimator,0.06995025975395909,1000
Direct,0.14786333921381678,1000
doubly robust estimator,0.16617182138099854,1000
cmebis,0.11073028138597905,1000
dr_bis,0.10944543875367345,1000
ips_estimator,0.007674796863357276,1000
Direct,0.1050951605949121,1000
doubly robust estimator,0.14294127636877002,1000
cmebis,0.0026671274752038594,1000
dr_bis,0.0026672167004750625,1000
ips_estimator,0.024816305204274407,10000
Direct,0.055673790158621714,10000
doubly robust estimator,0.06467625981812473,10000
cmebis,0.016753840453122486,10000
dr_bis,0.014360664030274821,10000
ips_estimator,0.010058458035005016,10000
Direct,0.0519596151733795,10000
doubly robust estimator,0.008060276619393451,10000
cmebis,0.01398171088269326,10000
dr_bis,0.00893018504292381,10000
ips_estimator,0.02468379208711319,10000
Direct,0.058252284232666096,10000
doubly robust estimator,0.006498206052314397,10000
cmebis,1.2360867245055856e-05,10000
dr_bis,1.2934618074617171e-05,10000
ips_estimator,0.013379794095296231,10000
Direct,0.08546998565587156,10000
doubly robust estimator,0.05045288642535256,10000
cmebis,0.0002510519060230961,10000
dr_bis,0.00025222084892579483,10000
ips_estimator,0.014899498905152067,10000
Direct,0.04767727474025425,10000
doubly robust estimator,0.008613196634886607,10000
cmebis,2.0070109293284643e-06,10000
dr_bis,2.1818753436587073e-06,10000
ips_estimator,0.01395180304208915,10000
Direct,0.05932525886359536,10000
doubly robust estimator,0.016223089617186763,10000
cmebis,0.0017193729577327096,10000
dr_bis,0.0017176191088561215,10000
ips_estimator,0.015756425565158706,10000
Direct,0.08720793816317604,10000
doubly robust estimator,0.01283735213370606,10000
cmebis,0.0011964065364120954,10000
dr_bis,0.0010040401650953479,10000
ips_estimator,0.023274898305310363,10000
Direct,0.05578087132069636,10000
doubly robust estimator,0.041288699078633244,10000
cmebis,0.0005852594211415951,10000
dr_bis,0.000585537601053913,10000
ips_estimator,0.01777661441869209,10000
Direct,0.07042469223705951,10000
doubly robust estimator,0.0014028819272887585,10000
cmebis,0.00033301755203408003,10000
dr_bis,0.0003310725533170759,10000
ips_estimator,0.017872817246509548,10000
Direct,0.057572839780849525,10000
doubly robust estimator,0.004811837880448046,10000
cmebis,0.00012206335130669806,10000
dr_bis,0.00012197311688357292,10000
