Estimator,MSE,Observation Size
ips_estimator,0.04323790972109817,2000
Direct,0.16192518674199294,2000
doubly robust estimator,0.1429207473895598,2000
cmebis,0.04601622680985905,2000
dr_bis,0.04419980317540506,2000
ips_estimator,0.008421850819860556,2000
Direct,0.1329988611794994,2000
doubly robust estimator,0.12913169737183938,2000
cmebis,0.04848584749811403,2000
dr_bis,0.04446099588772965,2000
ips_estimator,0.01617258398694494,2000
Direct,0.12768803422797995,2000
doubly robust estimator,0.10862993727186988,2000
cmebis,0.018665770343058705,2000
dr_bis,0.01824521611454763,2000
ips_estimator,0.0024631104570881626,2000
Direct,0.14224917505100046,2000
doubly robust estimator,0.09722903534641347,2000
cmebis,0.04675407702811583,2000
dr_bis,0.038818283185546545,2000
ips_estimator,0.034672143919133244,2000
Direct,0.15143446061180424,2000
doubly robust estimator,0.11445472520230847,2000
cmebis,0.05272866701765732,2000
dr_bis,0.048675498399186716,2000
ips_estimator,0.027112076988074833,2000
Direct,0.1072366638471425,2000
doubly robust estimator,0.12144606218099344,2000
cmebis,0.04623529677935803,2000
dr_bis,0.044480892031616946,2000
ips_estimator,0.0005279059766065784,2000
Direct,0.12595641059969326,2000
doubly robust estimator,0.07987911997770597,2000
cmebis,0.042746459993753656,2000
dr_bis,0.03525379750410958,2000
ips_estimator,0.03199554944171792,2000
Direct,0.14052765552574292,2000
doubly robust estimator,0.10570089306339053,2000
cmebis,0.05473030279047184,2000
dr_bis,0.050715814657922687,2000
ips_estimator,0.013802543413269579,2000
Direct,0.20875722882025002,2000
doubly robust estimator,0.1322311171357282,2000
cmebis,0.0647701646720777,2000
dr_bis,0.0557701555246802,2000
ips_estimator,0.014896591254815553,2000
Direct,0.14262779383403063,2000
doubly robust estimator,0.10613989460702056,2000
cmebis,0.008370765126599811,2000
dr_bis,0.008369182775997179,2000
ips_estimator,0.01466812795734687,2000
Direct,0.09409361083220172,2000
doubly robust estimator,0.09030929239532409,2000
cmebis,0.003175190291888932,2000
dr_bis,0.002902080755472568,2000
ips_estimator,0.0033419326990281936,2000
Direct,0.15687259350117413,2000
doubly robust estimator,0.11953504280974543,2000
cmebis,0.044164774885822246,2000
dr_bis,0.03651778081162484,2000
ips_estimator,0.014089278249824345,2000
Direct,0.10011286751367716,2000
doubly robust estimator,0.1048387547900819,2000
cmebis,0.03915935088949763,2000
dr_bis,0.03729545073568687,2000
ips_estimator,0.0076766351678586005,2000
Direct,0.16376930215478816,2000
doubly robust estimator,0.09815430807882147,2000
cmebis,0.037932566822942514,2000
dr_bis,0.032622442397240804,2000
ips_estimator,0.024296029406855494,2000
Direct,0.15023649160886746,2000
doubly robust estimator,0.08496843790483712,2000
cmebis,0.005427679726225617,2000
dr_bis,0.005427165567968967,2000
ips_estimator,0.05098797861449065,2000
Direct,0.13634597662194223,2000
doubly robust estimator,0.0854421957414716,2000
cmebis,0.0008661640718656179,2000
dr_bis,0.00086634903822954,2000
ips_estimator,0.03913370210301143,2000
Direct,0.19226463828290621,2000
doubly robust estimator,0.15481695927152192,2000
cmebis,0.013907032524623093,2000
dr_bis,0.013907556095050747,2000
ips_estimator,0.0018911369995473284,2000
Direct,0.16796065189728202,2000
doubly robust estimator,0.10128281713147494,2000
cmebis,0.0398567605459826,2000
dr_bis,0.031370867404674777,2000
ips_estimator,0.012100590239729604,2000
Direct,0.12942708827636762,2000
doubly robust estimator,0.13122198387202696,2000
cmebis,0.0182291977417183,2000
dr_bis,0.018227340707660918,2000
ips_estimator,0.014558328706186487,2000
Direct,0.14976036550140212,2000
doubly robust estimator,0.11408530097096392,2000
cmebis,0.05561220447255666,2000
dr_bis,0.04974054061861734,2000
ips_estimator,0.03245055849824241,2000
Direct,0.1807497502956493,2000
doubly robust estimator,0.11622361975560971,2000
cmebis,0.058915206229433484,2000
dr_bis,0.055865428369154674,2000
ips_estimator,0.0015883128307894302,2000
Direct,0.20433633665808426,2000
doubly robust estimator,0.08953464484817703,2000
cmebis,0.025497103018388464,2000
dr_bis,0.025495482427659186,2000
ips_estimator,0.009726370366800465,2000
Direct,0.15190900899267412,2000
doubly robust estimator,0.09368560477671677,2000
cmebis,0.032730563090658985,2000
dr_bis,0.02631458192609673,2000
ips_estimator,0.019151979496526386,2000
Direct,0.14445627655825571,2000
doubly robust estimator,0.10484485716998279,2000
cmebis,0.07052572385891247,2000
dr_bis,0.06660448363598052,2000
ips_estimator,0.019185223821850096,2000
Direct,0.1381263875659178,2000
doubly robust estimator,0.13755429610425182,2000
cmebis,0.02909837422547583,2000
dr_bis,0.028279792481414434,2000
ips_estimator,0.056141505843723315,2000
Direct,0.19616864958359304,2000
doubly robust estimator,0.16338645355973874,2000
cmebis,0.06996825258461205,2000
dr_bis,0.07068952301215105,2000
ips_estimator,0.009569633352253398,2000
Direct,0.1483948418803073,2000
doubly robust estimator,0.0978360934836078,2000
cmebis,0.03905461948934317,2000
dr_bis,0.03592643408133186,2000
ips_estimator,0.003938932216057633,2000
Direct,0.1579347703241785,2000
doubly robust estimator,0.09967689584327213,2000
cmebis,0.011456677806951457,2000
dr_bis,0.011455184819027067,2000
ips_estimator,0.03352543529593145,2000
Direct,0.097441367082108,2000
doubly robust estimator,0.12683727053403507,2000
cmebis,0.04897060196684185,2000
dr_bis,0.04620302611775932,2000
ips_estimator,0.038341334125863415,2000
Direct,0.12651226744760052,2000
doubly robust estimator,0.12752163315628853,2000
cmebis,0.016357358937564744,2000
dr_bis,0.01635668173575175,2000
