Estimator,MSE,n_reco
ips_estimator,0.020053966463518667,2
Direct,0.06361866194463837,2
doubly robust estimator,0.039099228323698554,2
cmebis,1.149929465767024e-05,2
dr_bis,4.940594458712703e-06,2
ips_estimator,0.010499163514543308,2
Direct,0.12386882586094013,2
doubly robust estimator,0.015096748272250484,2
cmebis,0.00030407252577861207,2
dr_bis,0.00033012276266400494,2
ips_estimator,0.005457831790385886,2
Direct,0.10669150507285656,2
doubly robust estimator,0.006808162599556833,2
cmebis,0.0008767403190822014,2
dr_bis,0.0008761274542184408,2
ips_estimator,0.021161535726564047,2
Direct,0.11388548260226242,2
doubly robust estimator,0.025948637221292595,2
cmebis,0.01134584387692656,2
dr_bis,0.007151215264303484,2
ips_estimator,0.0061100037007697046,2
Direct,0.11953309603639033,2
doubly robust estimator,0.021127063538755597,2
cmebis,0.004327856942262378,2
dr_bis,0.004330495700547711,2
ips_estimator,0.009700194530287747,2
Direct,0.12612660777715898,2
doubly robust estimator,0.0379316747097727,2
cmebis,0.0032235108562616867,2
dr_bis,0.0034826115702847825,2
ips_estimator,0.023804366747563713,2
Direct,0.09169524063982454,2
doubly robust estimator,0.05062598240485669,2
cmebis,0.00031911008549600405,2
dr_bis,0.0002953393296039949,2
ips_estimator,0.009552020615300727,2
Direct,0.11690568818350339,2
doubly robust estimator,0.06465864958344417,2
cmebis,0.006956426713603171,2
dr_bis,0.0025659896327940627,2
ips_estimator,0.01530550209043787,2
Direct,0.1031753301924826,2
doubly robust estimator,0.03240854667238834,2
cmebis,0.02224537990958906,2
dr_bis,0.02223485429463543,2
ips_estimator,0.013155448779187702,2
Direct,0.11899218522016816,2
doubly robust estimator,0.02840655410568554,2
cmebis,0.0004885141567599569,2
dr_bis,0.00039177856308919324,2
ips_estimator,0.025254656329115447,2
Direct,0.11101489153658675,2
doubly robust estimator,0.04167679946203576,2
cmebis,0.0027081711365215116,2
dr_bis,0.002699881595265824,2
ips_estimator,0.024571424401518372,2
Direct,0.09451900824868888,2
doubly robust estimator,0.03286204465184277,2
cmebis,0.0030452682187808557,2
dr_bis,0.0023322930553151032,2
ips_estimator,0.019139354605495786,2
Direct,0.11967291572799792,2
doubly robust estimator,0.05725640339203166,2
cmebis,0.005025598928349167,2
dr_bis,0.004009667660386694,2
ips_estimator,0.007257930587454396,2
Direct,0.11607131968839875,2
doubly robust estimator,0.030705233066072903,2
cmebis,0.0017553712798804915,2
dr_bis,0.0011814232211907953,2
ips_estimator,0.01344830421919221,2
Direct,0.0910107656186551,2
doubly robust estimator,0.029525198813007074,2
cmebis,0.006904353052113302,2
dr_bis,0.00371526765370632,2
ips_estimator,0.03268167192523848,2
Direct,0.1060187986239214,2
doubly robust estimator,0.04670168367854443,2
cmebis,5.37488680228526e-05,2
dr_bis,8.180946699844683e-05,2
ips_estimator,0.007779436045449082,2
Direct,0.1096798271780361,2
doubly robust estimator,0.04642722980407533,2
cmebis,0.003287649067392761,2
dr_bis,0.0012401695914345237,2
ips_estimator,0.01452513112658504,2
Direct,0.08545987240686198,2
doubly robust estimator,0.0642497755220135,2
cmebis,0.01394827856260962,2
dr_bis,0.008028835326649386,2
ips_estimator,0.03176282536391318,2
Direct,0.09790350496233596,2
doubly robust estimator,0.03990077517651818,2
cmebis,0.00771601470373344,2
dr_bis,0.007719933726850963,2
ips_estimator,0.003926542338478102,2
Direct,0.09547225025529903,2
doubly robust estimator,0.026135494264488253,2
cmebis,0.0003027075474537976,2
dr_bis,0.0003021966213749915,2
ips_estimator,0.017400377561193097,2
Direct,0.11611844123603482,2
doubly robust estimator,0.033557133598672136,2
cmebis,0.007858141836286865,2
dr_bis,0.007724790544050538,2
ips_estimator,0.01236989459221783,2
Direct,0.0942271105516968,2
doubly robust estimator,0.03649824244715082,2
cmebis,0.000480552101856305,2
dr_bis,0.0005626859748809508,2
ips_estimator,0.027715696775970647,2
Direct,0.11746757089307686,2
doubly robust estimator,0.04724628896188136,2
cmebis,0.007079653588989501,2
dr_bis,0.005739865363699464,2
ips_estimator,0.02952147670040406,2
Direct,0.11624209109736904,2
doubly robust estimator,0.08159213073305956,2
cmebis,0.010658825496836858,2
dr_bis,0.00929899514040223,2
ips_estimator,0.006631652045862198,2
Direct,0.11181341623349005,2
doubly robust estimator,0.02923838561107813,2
cmebis,0.0015541270045352296,2
dr_bis,0.0015530271809374046,2
ips_estimator,0.021542734711405102,2
Direct,0.09372954750968213,2
doubly robust estimator,0.02756249060707202,2
cmebis,0.000784428765127513,2
dr_bis,0.000768751579630835,2
ips_estimator,0.017554516046407814,2
