Estimator,MSE,n_users
ips_estimator,0.006450925159239691,150
Direct,0.05965526591574349,150
doubly robust estimator,0.06107250045110973,150
cmebis,0.001510817459675993,150
dr_bis,0.0015104941454000612,150
ips_estimator,0.01113521740174591,150
Direct,0.10641758009298531,150
doubly robust estimator,0.07583691130507035,150
cmebis,0.0065881880420005715,150
dr_bis,0.006587441740564636,150
ips_estimator,0.01989673336604217,150
Direct,0.12400964187776162,150
doubly robust estimator,0.08625327290684956,150
cmebis,0.0014152665947741933,150
dr_bis,0.0011794277071847685,150
ips_estimator,0.01361169168836623,150
Direct,0.13133983737331392,150
doubly robust estimator,0.10852773229056785,150
cmebis,0.023790903334325743,150
dr_bis,0.019396410091663176,150
ips_estimator,0.0009389566470477932,150
Direct,0.12009396850810071,150
doubly robust estimator,0.09130080702286925,150
cmebis,0.024881871410388355,150
dr_bis,0.01737423039138366,150
ips_estimator,0.02191867638354488,150
Direct,0.11832180165348635,150
doubly robust estimator,0.09768232259951347,150
cmebis,0.031691783532056525,150
dr_bis,0.027576760191338368,150
ips_estimator,0.04861615926817013,150
Direct,0.10469316105525714,150
doubly robust estimator,0.10861391657985942,150
cmebis,0.04327448569657758,150
dr_bis,0.04189519946585575,150
ips_estimator,0.012177629703408209,150
Direct,0.11730463561971105,150
doubly robust estimator,0.07761976648785739,150
cmebis,0.0052546695471766885,150
dr_bis,0.004908422530374566,150
ips_estimator,0.02297737967154457,150
Direct,0.13368966944202493,150
doubly robust estimator,0.08584652082516343,150
cmebis,0.010481860995137877,150
dr_bis,0.010481130774906115,150
ips_estimator,0.019135587627830762,150
Direct,0.15625101860227542,150
doubly robust estimator,0.10213857249774345,150
cmebis,0.0523164268928229,150
dr_bis,0.04366340058448952,150
ips_estimator,0.023624140767120685,150
Direct,0.1741313434200034,150
doubly robust estimator,0.13167369794757344,150
cmebis,0.032704766719865,150
dr_bis,0.02796512853895452,150
ips_estimator,0.04136845350173062,150
Direct,0.11196489152965543,150
