Estimator,MSE,alpha_multiplier
ips_estimator,0.03305185429672848,-0.7
Direct,0.06639736774201836,-0.7
doubly robust estimator,0.0525237801901498,-0.7
cmebis,0.03514135433320654,-0.7
dr_bis,0.028898009074621474,-0.7
ips_estimator,0.04147916680833167,-0.7
Direct,0.0705045876266966,-0.7
doubly robust estimator,0.0026944688650965727,-0.7
cmebis,0.035820884006739266,-0.7
dr_bis,0.03147243060890812,-0.7
ips_estimator,0.08669510417704317,-0.7
Direct,0.10677520109715037,-0.7
doubly robust estimator,0.020803936896761407,-0.7
cmebis,0.047772724372173926,-0.7
dr_bis,0.04686633049757394,-0.7
ips_estimator,0.03933307164723073,-0.7
Direct,0.06503933914167001,-0.7
doubly robust estimator,0.06439947755669458,-0.7
cmebis,0.04381959156927409,-0.7
dr_bis,0.038391813660994305,-0.7
ips_estimator,0.06996210472590972,-0.7
Direct,0.0872720610640223,-0.7
doubly robust estimator,0.056709020087057346,-0.7
cmebis,0.0012990128171357902,-0.7
dr_bis,0.0013575211802500974,-0.7
ips_estimator,0.037218122932048604,-0.7
Direct,0.07529463842259669,-0.7
doubly robust estimator,0.023743627512966044,-0.7
cmebis,0.03920425702799519,-0.7
dr_bis,0.03362972190739952,-0.7
ips_estimator,0.05388612384294272,-0.7
Direct,0.07994093762561386,-0.7
doubly robust estimator,0.055797310773967136,-0.7
cmebis,0.0004794669127820619,-0.7
dr_bis,0.0004800689875963818,-0.7
ips_estimator,0.06235747337347954,-0.7
Direct,0.10285382058228833,-0.7
doubly robust estimator,0.06976369158022136,-0.7
cmebis,0.01489265401574092,-0.7
dr_bis,0.014895965059109792,-0.7
ips_estimator,0.034255854510665235,-0.7
Direct,0.07250597915383056,-0.7
doubly robust estimator,0.00882508313031786,-0.7
cmebis,2.6310415299936435e-07,-0.7
dr_bis,2.8718016983104646e-07,-0.7
ips_estimator,0.046040507530564455,-0.7
Direct,0.08166502694271766,-0.7
doubly robust estimator,0.0161368078809553,-0.7
cmebis,0.004849960314129371,-0.7
dr_bis,0.004558045303694216,-0.7
ips_estimator,0.02156987967846162,-0.5
Direct,0.10721975204213098,-0.5
doubly robust estimator,0.02209014390278168,-0.5
cmebis,0.00282754680186725,-0.5
dr_bis,0.002615260860449344,-0.5
ips_estimator,0.007856507039098974,-0.5
Direct,0.04991758799723753,-0.5
doubly robust estimator,0.07579194937348867,-0.5
cmebis,0.035724494662546694,-0.5
dr_bis,0.02466294634811668,-0.5
ips_estimator,0.008860650325775828,-0.5
Direct,0.07330588484637411,-0.5
doubly robust estimator,0.08512709271142388,-0.5
cmebis,0.0010398955765477996,-0.5
dr_bis,0.0010380804688165624,-0.5
ips_estimator,0.018950669136727622,-0.5
Direct,0.09563489101871099,-0.5
doubly robust estimator,0.014602076414896654,-0.5
cmebis,0.0008189554024934168,-0.5
dr_bis,0.0008200428592069168,-0.5
ips_estimator,0.03790717831661613,-0.5
Direct,0.05330787632867777,-0.5
doubly robust estimator,0.011176933683874339,-0.5
cmebis,0.00583559269228329,-0.5
dr_bis,0.005839676359730343,-0.5
ips_estimator,0.0462485688141516,-0.5
Direct,0.13628598990047222,-0.5
doubly robust estimator,0.03124507163860585,-0.5
cmebis,0.031284647579418914,-0.5
dr_bis,0.02857892260719379,-0.5
ips_estimator,0.01812411767734106,-0.5
Direct,0.07841830925823708,-0.5
doubly robust estimator,0.04114336936307946,-0.5
cmebis,0.0033056986132009793,-0.5
dr_bis,0.0033005647682991593,-0.5
ips_estimator,0.018829013192223673,-0.5
Direct,0.07041399387332536,-0.5
doubly robust estimator,0.01730680582240522,-0.5
cmebis,1.5429559360783217e-06,-0.5
dr_bis,1.5215795442430797e-06,-0.5
ips_estimator,0.01964702279717456,-0.5
Direct,0.050637764943734655,-0.5
doubly robust estimator,0.025910124114400024,-0.5
cmebis,0.0006370124241616399,-0.5
dr_bis,0.0006459161511852197,-0.5
ips_estimator,0.018030795325346526,-0.5
Direct,0.11711568490186253,-0.5
doubly robust estimator,0.03537151210174111,-0.5
cmebis,0.03775990944566587,-0.5
dr_bis,0.031173484765629682,-0.5
ips_estimator,0.021517330970110334,-0.3
Direct,0.15819278398375086,-0.3
doubly robust estimator,0.02468017577209535,-0.3
cmebis,0.016607503466596955,-0.3
dr_bis,0.013743909592593586,-0.3
ips_estimator,0.0156351140569444,-0.3
Direct,0.17574838002515533,-0.3
doubly robust estimator,0.048322730450548364,-0.3
cmebis,0.02099365255085707,-0.3
dr_bis,0.015661064545117603,-0.3
ips_estimator,0.01266569839027672,-0.3
Direct,0.16905389089440614,-0.3
doubly robust estimator,0.0310370156963002,-0.3
cmebis,0.013427698192966875,-0.3
dr_bis,0.010205563057230227,-0.3
ips_estimator,0.06134435597186922,-0.3
Direct,0.20174229316101136,-0.3
doubly robust estimator,0.06047074964639262,-0.3
cmebis,0.002168660552598013,-0.3
dr_bis,0.0021693436617283793,-0.3
ips_estimator,0.02333282719127282,-0.3
Direct,0.14173540807703872,-0.3
doubly robust estimator,0.04312850826626335,-0.3
cmebis,0.015531895948020926,-0.3
dr_bis,0.012491054411342083,-0.3
ips_estimator,0.021793755122000606,-0.3
Direct,0.20136061706137162,-0.3
doubly robust estimator,0.12804445059950886,-0.3
cmebis,0.029584233898037503,-0.3
dr_bis,0.023139866846810703,-0.3
ips_estimator,0.0263544445466169,-0.3
Direct,0.14521286033215353,-0.3
doubly robust estimator,0.1047400833487263,-0.3
cmebis,0.021632538806836334,-0.3
dr_bis,0.01826958995561318,-0.3
ips_estimator,0.020416361097962042,-0.3
Direct,0.18973858808142413,-0.3
doubly robust estimator,0.12174303052987458,-0.3
cmebis,0.0006880092136178977,-0.3
dr_bis,0.000584583569762434,-0.3
ips_estimator,0.010907487086944542,-0.3
Direct,0.162088098718718,-0.3
doubly robust estimator,0.1380034247016635,-0.3
cmebis,0.007969193956289016,-0.3
dr_bis,0.007974957254353193,-0.3
ips_estimator,0.017878640094331655,-0.3
Direct,0.1692196800363515,-0.3
doubly robust estimator,0.03894597233795537,-0.3
cmebis,0.02001121582039519,-0.3
dr_bis,0.014601041429466033,-0.3
ips_estimator,0.0023265737506438433,0.3
Direct,0.018337252769633033,0.3
