Estimator,MSE,alpha_multiplier
ips_estimator,0.05636922204439987,-0.9
Direct,0.17954402519814439,-0.9
doubly robust estimator,0.09991907193256655,-0.9
cmebis,0.08472835133797989,-0.9
dr_bis,0.08252713077656207,-0.9
ips_estimator,0.025776468825966677,-0.9
Direct,0.18014539036375424,-0.9
doubly robust estimator,0.140887001554415,-0.9
cmebis,0.14063701426665873,-0.9
dr_bis,0.1308909036276131,-0.9
ips_estimator,0.04100481750444036,-0.9
Direct,0.20245548678904887,-0.9
doubly robust estimator,0.1621429070526486,-0.9
cmebis,0.10601349635917576,-0.9
dr_bis,0.09840302375715503,-0.9
ips_estimator,0.09034705554277535,-0.9
Direct,0.1623184070470145,-0.9
doubly robust estimator,0.1112616008111436,-0.9
cmebis,0.02238015260370852,-0.9
dr_bis,0.02238251833242747,-0.9
ips_estimator,0.08135388229855704,-0.9
Direct,0.1851296869460188,-0.9
doubly robust estimator,0.1910405834605304,-0.9
cmebis,0.17822725641628456,-0.9
dr_bis,0.17822041550904522,-0.9
ips_estimator,0.07457429149323182,-0.9
Direct,0.2860107018025063,-0.9
doubly robust estimator,0.1747776462026166,-0.9
cmebis,0.06133147431553855,-0.9
dr_bis,0.06155323414759957,-0.9
ips_estimator,0.07199452744599262,-0.9
Direct,0.1430772265860032,-0.9
doubly robust estimator,0.20287984477539375,-0.9
cmebis,0.03375487879095264,-0.9
dr_bis,0.033754704156294515,-0.9
ips_estimator,0.06592247574422187,-0.9
Direct,0.19304939796634962,-0.9
doubly robust estimator,0.1320037178441698,-0.9
cmebis,0.05046506759152811,-0.9
dr_bis,0.05046366237106481,-0.9
ips_estimator,0.022759900638421517,-0.9
Direct,0.16551960089815826,-0.9
doubly robust estimator,0.22493319845342646,-0.9
cmebis,0.08539067023134557,-0.9
dr_bis,0.07869253128639303,-0.9
ips_estimator,0.05117153497731614,-0.9
Direct,0.12074706934974275,-0.9
doubly robust estimator,0.1035506434595048,-0.9
cmebis,0.008301459901206846,-0.9
dr_bis,0.008296762566877934,-0.9
ips_estimator,0.061464107176986825,-0.7
Direct,0.19025660645458636,-0.7
doubly robust estimator,0.08714429498316573,-0.7
cmebis,0.10982353578348367,-0.7
dr_bis,0.10209672997538599,-0.7
ips_estimator,0.040644243284832654,-0.7
Direct,0.1311411933843042,-0.7
doubly robust estimator,0.13860584958532743,-0.7
cmebis,0.023696847927512994,-0.7
dr_bis,0.023697905036851905,-0.7
ips_estimator,0.04065316284729595,-0.7
Direct,0.16271551931920064,-0.7
doubly robust estimator,0.06503735461632638,-0.7
cmebis,0.00034793544885014304,-0.7
dr_bis,0.0003478037678237792,-0.7
ips_estimator,0.05270886164859513,-0.7
Direct,0.20436630208557763,-0.7
doubly robust estimator,0.11962106772072723,-0.7
cmebis,0.012912604038161319,-0.7
dr_bis,0.01291200622620468,-0.7
ips_estimator,0.13293934960646087,-0.7
Direct,0.17587170813074132,-0.7
doubly robust estimator,0.1323766535848952,-0.7
cmebis,0.011506914534434304,-0.7
dr_bis,0.011506425195993798,-0.7
ips_estimator,0.054709691014680685,-0.7
Direct,0.21230372707140235,-0.7
doubly robust estimator,0.2137029944096826,-0.7
cmebis,0.01631148570644416,-0.7
dr_bis,0.01631212310330868,-0.7
ips_estimator,0.010499440263459437,-0.7
Direct,0.1634424055115068,-0.7
doubly robust estimator,0.08238194057669175,-0.7
cmebis,0.043487384851516195,-0.7
dr_bis,0.0363066760997226,-0.7
ips_estimator,0.021811681208605604,-0.7
Direct,0.24907561317357718,-0.7
doubly robust estimator,0.17369379502248408,-0.7
cmebis,0.07184853574427244,-0.7
dr_bis,0.06510476633670427,-0.7
ips_estimator,0.08899558963594598,-0.7
Direct,0.17010010991701854,-0.7
doubly robust estimator,0.13847468633245497,-0.7
cmebis,0.019367920725116894,-0.7
dr_bis,0.019368635822839503,-0.7
ips_estimator,0.020757698924438826,-0.7
Direct,0.14707696965356154,-0.7
doubly robust estimator,0.10606503868212581,-0.7
cmebis,0.07336868619328914,-0.7
dr_bis,0.06275470176956104,-0.7
ips_estimator,0.014456091399239743,-0.5
Direct,0.07977615415288078,-0.5
doubly robust estimator,0.03745657797817356,-0.5
cmebis,0.01975988239097455,-0.5
dr_bis,0.017481610267707833,-0.5
ips_estimator,0.025013975187246424,-0.5
Direct,0.15818603219961497,-0.5
doubly robust estimator,0.0714412873722976,-0.5
cmebis,0.04535476603288834,-0.5
dr_bis,0.04451178016953424,-0.5
ips_estimator,0.00816311182309156,-0.5
Direct,0.09589803945042971,-0.5
doubly robust estimator,0.09418308944138473,-0.5
cmebis,0.02314402442203999,-0.5
dr_bis,0.017895336336053544,-0.5
ips_estimator,0.02203667436150818,-0.5
Direct,0.12076367616626199,-0.5
doubly robust estimator,0.07121344311034435,-0.5
cmebis,0.02311500867894468,-0.5
dr_bis,0.023114880750439885,-0.5
ips_estimator,0.011554763886912732,-0.5
Direct,0.12502768048389468,-0.5
doubly robust estimator,0.07719513853705857,-0.5
cmebis,0.03671713354787136,-0.5
dr_bis,0.03332505143077931,-0.5
ips_estimator,0.026423938196428593,-0.5
Direct,0.13950731089795007,-0.5
doubly robust estimator,0.08539627154577087,-0.5
cmebis,0.02165354644003634,-0.5
dr_bis,0.021653447868348618,-0.5
ips_estimator,0.030071998007796835,-0.5
Direct,0.09413999690322328,-0.5
doubly robust estimator,0.07598109132347713,-0.5
cmebis,0.00941552542547719,-0.5
dr_bis,0.009416982744197182,-0.5
ips_estimator,0.0038861920250275973,-0.5
Direct,0.08808162285036462,-0.5
doubly robust estimator,0.03170193165764262,-0.5
cmebis,0.010192758730110902,-0.5
dr_bis,0.010189594867928038,-0.5
ips_estimator,0.05213359588203943,-0.5
Direct,0.11976909381517178,-0.5
doubly robust estimator,0.08983198402779613,-0.5
cmebis,0.02687692446669307,-0.5
dr_bis,0.026879813776201467,-0.5
ips_estimator,0.001343117271157123,-0.5
Direct,0.08935884631690899,-0.5
doubly robust estimator,0.06987610411772358,-0.5
cmebis,0.0298537876731632,-0.5
dr_bis,0.02073840408791254,-0.5
