Estimator,MSE,Observation Size
ips_estimator,0.0023159231895959966,100
Direct,0.20673923641337838,100
doubly robust estimator,0.20538432359138376,100
cmebis,0.23097213590212667,100
dr_bis,0.23097196223354385,100
ips_estimator,0.1589466335161535,100
Direct,0.3222372452808166,100
doubly robust estimator,0.3738081798852541,100
cmebis,0.22149406257604287,100
dr_bis,0.220078193908317,100
ips_estimator,0.08305335998721664,100
Direct,0.2652757582986186,100
doubly robust estimator,0.21794193173447668,100
cmebis,0.14979301504385548,100
dr_bis,0.14862708999519827,100
ips_estimator,0.008001522826841431,100
Direct,0.14712567141277394,100
doubly robust estimator,0.6878981290756061,100
cmebis,0.24133940376499416,100
dr_bis,0.23972884116355977,100
ips_estimator,0.257827994742771,100
Direct,0.470758657705341,100
doubly robust estimator,0.46162241790696507,100
cmebis,0.37389810329924267,100
dr_bis,0.3784034274089713,100
ips_estimator,0.019989105949767254,100
Direct,0.09794278419516449,100
doubly robust estimator,0.26895405221401875,100
cmebis,0.13633983162903757,100
dr_bis,0.13633967005275854,100
ips_estimator,0.004802955894282524,100
Direct,0.1641945134641012,100
doubly robust estimator,0.06552743314242802,100
cmebis,0.10333874622571505,100
dr_bis,0.10333855433416,100
ips_estimator,0.12108874165738619,100
Direct,0.16925263075836924,100
doubly robust estimator,0.029202120464494715,100
cmebis,0.12476069887515688,100
dr_bis,0.1252429658004023,100
ips_estimator,9.950030335194096e-05,100
Direct,0.16927509618099018,100
doubly robust estimator,0.17098440903120474,100
cmebis,0.12020490194165355,100
dr_bis,0.11942802637923536,100
ips_estimator,0.31069289604260303,100
Direct,0.39041363923588407,100
doubly robust estimator,0.1515704270029939,100
cmebis,0.14990111244222612,100
dr_bis,0.1499011332227557,100
ips_estimator,0.054610102152454966,1000
Direct,0.13697018604309613,1000
doubly robust estimator,0.12007159133641471,1000
cmebis,0.06768197498728783,1000
dr_bis,0.06215593827115705,1000
ips_estimator,0.005993322408071966,1000
Direct,0.09444526949292124,1000
doubly robust estimator,0.06360257387398027,1000
cmebis,0.0017674523556286126,1000
dr_bis,0.0017674369216257554,1000
ips_estimator,0.012366343521063958,1000
Direct,0.13745797389038988,1000
doubly robust estimator,0.10633204783831768,1000
cmebis,0.03460328390078963,1000
dr_bis,0.03460214679674942,1000
ips_estimator,0.017225739192389282,1000
Direct,0.13452777370503785,1000
doubly robust estimator,0.11495748771733459,1000
cmebis,0.026880570844391376,1000
dr_bis,0.02687975448429667,1000
ips_estimator,0.03671649386510392,1000
Direct,0.1796160827094724,1000
doubly robust estimator,0.1375410923758594,1000
cmebis,0.030780509483401865,1000
dr_bis,0.03078004172884776,1000
ips_estimator,0.013717994159653331,1000
Direct,0.11099878248171931,1000
doubly robust estimator,0.09311477364217735,1000
cmebis,0.013779905505953453,1000
dr_bis,0.013778940703305396,1000
ips_estimator,0.006221149574577931,1000
Direct,0.06893881275218217,1000
doubly robust estimator,0.07286204945242146,1000
cmebis,0.012140974404930276,1000
dr_bis,0.01132975359867765,1000
ips_estimator,0.009209064058306543,1000
Direct,0.0723864585434062,1000
doubly robust estimator,0.07571748201915984,1000
cmebis,0.03415935125000908,1000
dr_bis,0.031472414966305755,1000
ips_estimator,0.046872102387762515,1000
Direct,0.1368847658914768,1000
doubly robust estimator,0.15225307756819748,1000
cmebis,0.02299600932149131,1000
dr_bis,0.022996152493163283,1000
ips_estimator,0.0014786455258649846,1000
Direct,0.14709183918779598,1000
doubly robust estimator,0.08051939490761655,1000
cmebis,0.00284216174986254,1000
dr_bis,0.002841746565357506,1000
ips_estimator,0.01185319411361059,10000
Direct,0.1438495993766235,10000
doubly robust estimator,0.015666068765590218,10000
cmebis,0.015374723058815895,10000
dr_bis,0.011327206398452675,10000
ips_estimator,0.02129798353259477,10000
Direct,0.10286062071675312,10000
doubly robust estimator,0.008728326085998809,10000
cmebis,5.4254912754065736e-05,10000
dr_bis,5.4439556471179634e-05,10000
ips_estimator,0.018162606205336038,10000
Direct,0.07019979469106234,10000
doubly robust estimator,0.053046377672132126,10000
cmebis,0.013950700349390078,10000
dr_bis,0.010856909396529616,10000
ips_estimator,0.03012059944837867,10000
Direct,0.09866654978168857,10000
doubly robust estimator,0.02360903308288072,10000
cmebis,5.208808646915962e-09,10000
dr_bis,8.079295415911149e-09,10000
ips_estimator,0.03679587935947581,10000
Direct,0.11317284403108827,10000
doubly robust estimator,0.09641685940738606,10000
cmebis,0.02270738143557332,10000
dr_bis,0.019275208932864746,10000
ips_estimator,0.03156133573387327,10000
Direct,0.11149362535611958,10000
doubly robust estimator,0.039397991422155186,10000
cmebis,0.02284239791089723,10000
dr_bis,0.019230353680800286,10000
ips_estimator,0.030290708747844095,10000
Direct,0.09508521248760834,10000
doubly robust estimator,0.018242324063959384,10000
cmebis,0.0009508915631445253,10000
dr_bis,0.0009500850267462844,10000
ips_estimator,0.029674185292760016,10000
Direct,0.1073951195580476,10000
doubly robust estimator,0.014731494908150263,10000
cmebis,0.01872842435904307,10000
dr_bis,0.015661451066364615,10000
ips_estimator,0.04065499915856842,10000
Direct,0.12072302686640339,10000
doubly robust estimator,0.046524592776828515,10000
cmebis,0.0008352323687940523,10000
dr_bis,0.0008361264911386704,10000
ips_estimator,0.03245100811509715,10000
Direct,0.0900021975079207,10000
doubly robust estimator,0.015406840245447771,10000
cmebis,0.0006695216838924874,10000
dr_bis,0.0005957522719774085,10000
