Estimator,MSE,alpha_multiplier
ips_estimator,3.467229433341609e-05,0.7
Direct,0.006175155345049578,0.7
doubly robust estimator,0.0028343940840006754,0.7
cmebis,6.276992222689288e-05,0.7
dr_bis,6.280949668305389e-05,0.7
ips_estimator,0.0033477485647026932,0.7
Direct,0.011829565155333715,0.7
doubly robust estimator,0.009055006299049356,0.7
cmebis,0.00164269953450186,0.7
dr_bis,0.0016428312282916206,0.7
ips_estimator,0.011726607488924314,0.7
Direct,0.006111215992091825,0.7
doubly robust estimator,0.0049126746207485755,0.7
cmebis,0.0005791520248907414,0.7
dr_bis,0.0005791519768685612,0.7
ips_estimator,0.021512710116771732,0.7
Direct,0.012332759483132229,0.7
doubly robust estimator,0.00135012540002625,0.7
cmebis,0.002129635837807908,0.7
dr_bis,0.002128780152293743,0.7
ips_estimator,0.005484091913887443,0.7
Direct,0.0034732784633217627,0.7
doubly robust estimator,0.0060761884983152785,0.7
cmebis,0.002225235138823995,0.7
dr_bis,0.0022253719171279286,0.7
ips_estimator,0.018405197196742894,0.7
Direct,0.0111812211363188,0.7
doubly robust estimator,0.007025701090681608,0.7
cmebis,0.002037657112353899,0.7
dr_bis,0.0020376569255732206,0.7
ips_estimator,0.012524317318534935,0.7
Direct,0.003653693102718541,0.7
doubly robust estimator,0.005723179839735885,0.7
cmebis,0.004714840237051059,0.7
dr_bis,0.0047139673717946215,0.7
ips_estimator,0.018638743438015686,0.7
Direct,0.004633731879836344,0.7
doubly robust estimator,0.0028402535375035907,0.7
cmebis,2.994534326780417e-05,0.7
dr_bis,2.9967454749307447e-05,0.7
ips_estimator,0.001736427111064459,0.7
Direct,0.0018939507623167667,0.7
doubly robust estimator,0.002792081797404452,0.7
cmebis,0.002712366010947301,0.7
dr_bis,0.0027127424399193568,0.7
ips_estimator,0.005525754023022358,0.7
Direct,0.003943692394645901,0.7
doubly robust estimator,0.0020785036523500978,0.7
cmebis,8.642898759826668e-05,0.7
dr_bis,8.642889139183644e-05,0.7
ips_estimator,0.00781846384588001,0.7
Direct,0.0006181598020240336,0.7
doubly robust estimator,0.0033050728929106834,0.7
cmebis,0.0013707504273641415,0.7
dr_bis,0.0013707502397304258,0.7
ips_estimator,0.0073966859161486605,0.7
Direct,0.018159737813532337,0.7
doubly robust estimator,0.007781021530684933,0.7
cmebis,0.004538113195804228,0.7
dr_bis,0.004536551114054869,0.7
ips_estimator,0.007651537617889544,0.7
Direct,0.005944800426923725,0.7
doubly robust estimator,0.004437294415947705,0.7
cmebis,6.250755525451002e-05,0.7
dr_bis,6.250755571009803e-05,0.7
ips_estimator,0.015506554479747567,0.7
Direct,0.002361706563538553,0.7
doubly robust estimator,0.0016686988142415832,0.7
cmebis,8.497437165907712e-05,0.7
dr_bis,8.497441011001773e-05,0.7
ips_estimator,0.020332272116215654,0.7
Direct,0.021643978261295396,0.7
doubly robust estimator,0.0025748827195776107,0.7
cmebis,0.00108236567187585,0.7
dr_bis,0.0010823655758303752,0.7
ips_estimator,0.006721501614145066,0.7
Direct,0.003731461234125345,0.7
doubly robust estimator,0.0018062487658559736,0.7
cmebis,0.0007521832164479916,0.7
dr_bis,0.0007521263115643906,0.7
ips_estimator,0.025376506539130428,0.7
Direct,0.004707575592433936,0.7
doubly robust estimator,0.0007815462274329691,0.7
cmebis,3.885605937059431e-06,0.7
dr_bis,3.885600363011293e-06,0.7
ips_estimator,0.00025484467734226247,0.7
Direct,0.002294589767391305,0.7
doubly robust estimator,2.8938534422168787e-05,0.7
cmebis,0.0005498934569209845,0.7
dr_bis,0.0005506631855451032,0.7
ips_estimator,0.009089044106857368,0.7
Direct,0.008292552768784121,0.7
doubly robust estimator,0.0021559894352916314,0.7
cmebis,0.00017967125777836732,0.7
dr_bis,0.00017967123255788322,0.7
ips_estimator,0.02386068771694853,0.7
Direct,0.009069399178917553,0.7
doubly robust estimator,0.006816647246367859,0.7
cmebis,0.003946082711247175,0.7
dr_bis,0.0039445594856640275,0.7
ips_estimator,0.017423664810545792,0.7
Direct,0.0051986351086571805,0.7
doubly robust estimator,0.0019898309492256652,0.7
cmebis,0.0005764380137710591,0.7
dr_bis,0.0005764378189311843,0.7
ips_estimator,0.009912340215323006,0.7
Direct,0.0033002463463989973,0.7
doubly robust estimator,0.0018523281689757662,0.7
cmebis,0.0013709548645047139,0.7
dr_bis,0.0013704744212506544,0.7
ips_estimator,0.012327504522188254,0.7
Direct,0.007924920869491432,0.7
doubly robust estimator,0.0010527184157168377,0.7
cmebis,0.00033176644735022224,0.7
dr_bis,0.00033176651405709685,0.7
ips_estimator,0.00575620305113379,0.7
Direct,0.00276526858620209,0.7
doubly robust estimator,0.0032414495328249907,0.7
cmebis,0.0022687203150210137,0.7
dr_bis,0.0022682187596664064,0.7
ips_estimator,0.016597934977924552,0.7
Direct,0.0043725638042823416,0.7
doubly robust estimator,0.0034785432774111576,0.7
cmebis,0.0014174615231995337,0.7
dr_bis,0.0014209245956799737,0.7
ips_estimator,0.019871525736449746,0.7
Direct,0.010264679283332925,0.7
doubly robust estimator,0.0005735657701933758,0.7
cmebis,0.0007834103967913106,0.7
dr_bis,0.0007834100119962574,0.7
ips_estimator,0.020313454521963058,0.7
Direct,0.00641548382592422,0.7
doubly robust estimator,0.0010959966263208222,0.7
cmebis,0.001143815981420007,0.7
dr_bis,0.0011437509195906391,0.7
ips_estimator,0.0017291836427997171,0.7
Direct,0.008221353635706611,0.7
doubly robust estimator,0.004855663409383497,0.7
cmebis,7.406526943979885e-06,0.7
dr_bis,7.414134842267574e-06,0.7
ips_estimator,0.012276619280035385,0.7
Direct,2.0229646077857561e-07,0.7
doubly robust estimator,0.00037917850578142833,0.7
cmebis,0.002790042481071439,0.7
dr_bis,0.002790043227048692,0.7
ips_estimator,0.007817390788435536,0.7
Direct,0.0026585170387009673,0.7
doubly robust estimator,0.0012385900644688674,0.7
cmebis,0.00029075037543742257,0.7
dr_bis,0.00029075037275337097,0.7
ips_estimator,0.006915165485188638,0.9
Direct,0.002942051235299624,0.9
doubly robust estimator,0.000816985359140254,0.9
cmebis,0.0001718865365068343,0.9
dr_bis,0.0001718609139249686,0.9
ips_estimator,0.007777133702968101,0.9
Direct,0.0023268216006126176,0.9
doubly robust estimator,0.004314692867861833,0.9
cmebis,0.0003050484316435294,0.9
dr_bis,0.00030485273588431907,0.9
ips_estimator,0.020666739023039896,0.9
Direct,0.0011817406466906985,0.9
doubly robust estimator,0.0023006034441359876,0.9
cmebis,2.312709297837291e-05,0.9
dr_bis,2.3126618405945194e-05,0.9
ips_estimator,0.013710007398042316,0.9
Direct,0.0029816372358948046,0.9
doubly robust estimator,0.003467887905993849,0.9
cmebis,0.001126449155616062,0.9
dr_bis,0.0011264473296487506,0.9
ips_estimator,0.014042444183407795,0.9
Direct,8.05481839269577e-05,0.9
doubly robust estimator,0.0014978093592797007,0.9
cmebis,0.0004515579226216209,0.9
dr_bis,0.0004515579010389744,0.9
ips_estimator,0.011982765841245737,0.9
Direct,0.005630753986523414,0.9
doubly robust estimator,0.005305371805803739,0.9
cmebis,0.0005490172350480705,0.9
dr_bis,0.0005488772471452652,0.9
ips_estimator,0.0118517815820304,0.9
Direct,1.4893373120054115e-05,0.9
doubly robust estimator,0.0009336262625700978,0.9
cmebis,0.0001304542217468894,0.9
dr_bis,0.00013045412566269377,0.9
ips_estimator,0.01948421717261454,0.9
Direct,0.002795234165178585,0.9
doubly robust estimator,0.0014898310136680045,0.9
cmebis,5.192582530230202e-05,0.9
dr_bis,5.2058184394856394e-05,0.9
ips_estimator,0.01858224388921697,0.9
Direct,0.0035793710489013426,0.9
doubly robust estimator,0.00827671296094381,0.9
cmebis,0.0006103552839734352,0.9
dr_bis,0.0006102021797319008,0.9
ips_estimator,0.01864330423171072,0.9
Direct,0.0014867270193049161,0.9
doubly robust estimator,0.0017034714465079086,0.9
cmebis,0.0018047778443947519,0.9
dr_bis,0.0018047775730665712,0.9
ips_estimator,0.01961507910999534,0.9
Direct,0.003678393475770983,0.9
doubly robust estimator,0.0036622443135806274,0.9
cmebis,0.0005852318240223015,0.9
dr_bis,0.0005852317303137754,0.9
ips_estimator,0.017170313304480992,0.9
Direct,0.0007084304011823259,0.9
doubly robust estimator,0.005831013737131347,0.9
cmebis,0.005102055360935465,0.9
dr_bis,0.005097733974010258,0.9
ips_estimator,0.013605658314333056,0.9
Direct,0.003597567797572189,0.9
doubly robust estimator,0.0013997761572776127,0.9
cmebis,0.0005949311848076393,0.9
dr_bis,0.0005949314813279554,0.9
ips_estimator,0.014914401075053143,0.9
Direct,0.00011420138571352918,0.9
doubly robust estimator,0.003310087698027882,0.9
cmebis,0.0009643520145745935,0.9
dr_bis,0.0009641197994066581,0.9
ips_estimator,0.015747864370144395,0.9
Direct,0.006903752164251456,0.9
doubly robust estimator,0.003668168610405695,0.9
cmebis,0.00348941259413544,0.9
dr_bis,0.0034878390474789435,0.9
ips_estimator,0.005237671753490077,0.9
Direct,0.00220452484039186,0.9
doubly robust estimator,0.002153352438989372,0.9
cmebis,0.0005935652947266952,0.9
dr_bis,0.0005935651755324568,0.9
ips_estimator,0.01597110432292957,0.9
Direct,1.2446069861562262e-05,0.9
doubly robust estimator,0.0003599331742124072,0.9
cmebis,6.13142511393269e-05,0.9
dr_bis,6.134660859616621e-05,0.9
ips_estimator,0.020316500567680407,0.9
Direct,0.006640540638286271,0.9
doubly robust estimator,0.005775667527156071,0.9
cmebis,0.00201697104711556,0.9
dr_bis,0.002016750766333281,0.9
ips_estimator,0.019613117247927987,0.9
Direct,0.0007296060047178719,0.9
doubly robust estimator,0.004415308990344234,0.9
cmebis,3.517001662112817e-05,0.9
dr_bis,3.517001137663607e-05,0.9
ips_estimator,0.01706467989111918,0.9
Direct,0.003843531899398623,0.9
doubly robust estimator,0.007578032263003106,0.9
cmebis,0.0006475975117891811,0.9
dr_bis,0.0006475970794732276,0.9
ips_estimator,0.009546677261329278,0.9
Direct,0.0035896929425450787,0.9
doubly robust estimator,0.0025387673534342406,0.9
cmebis,0.0017952613211226361,0.9
dr_bis,0.0017952612515541178,0.9
ips_estimator,0.013349443552277261,0.9
Direct,0.002263437547884248,0.9
doubly robust estimator,0.0027803921147578135,0.9
cmebis,0.0012814667406799661,0.9
dr_bis,0.0012802825454979675,0.9
ips_estimator,0.013124161882931034,0.9
Direct,0.0008995555663551779,0.9
doubly robust estimator,0.0047067116746297485,0.9
cmebis,0.000650706764016433,0.9
dr_bis,0.0006504294261381364,0.9
ips_estimator,0.0059524879331569,0.9
Direct,0.002500112677890085,0.9
doubly robust estimator,0.003766961618341277,0.9
cmebis,0.0030549722563957904,0.9
dr_bis,0.003054286872777289,0.9
ips_estimator,0.0025298086028443197,0.9
Direct,0.010221491325921822,0.9
doubly robust estimator,0.010512716916920462,0.9
cmebis,0.002949363269191959,0.9
dr_bis,0.002949362538916922,0.9
ips_estimator,0.006152825099125782,0.9
Direct,0.00574359169961432,0.9
doubly robust estimator,0.003095144994032572,0.9
cmebis,0.0026597455973400895,0.9
dr_bis,0.002660624652041678,0.9
ips_estimator,0.012497575391517666,0.9
Direct,0.0004427089879632709,0.9
doubly robust estimator,0.0017530124696967314,0.9
cmebis,0.000231266598887017,0.9
dr_bis,0.0002313942591654447,0.9
ips_estimator,0.00045176172481181735,0.9
Direct,0.005288652698928924,0.9
doubly robust estimator,0.002114659747564625,0.9
cmebis,0.001364209564531447,0.9
dr_bis,0.0013642094778462245,0.9
ips_estimator,0.018809876640460174,0.9
Direct,0.0011452406220638794,0.9
doubly robust estimator,0.0012836781120500202,0.9
cmebis,1.1208731466077168e-06,0.9
dr_bis,1.1208685192183602e-06,0.9
ips_estimator,0.004684253299493355,0.9
Direct,0.011151898874918149,0.9
doubly robust estimator,0.005271098324425293,0.9
cmebis,0.002537843425900757,0.9
dr_bis,0.002538103214679619,0.9
