Estimator,MSE,alpha_multiplier
ips_estimator,0.2240734547436989,-0.3
Direct,0.2322209398587827,-0.3
doubly robust estimator,0.16849829964513435,-0.3
cmebis,0.03066914021278449,-0.3
dr_bis,0.0306693306706565,-0.3
ips_estimator,0.00018357972246076316,-0.3
Direct,0.18099275353461794,-0.3
doubly robust estimator,0.17821394235787597,-0.3
cmebis,0.02808464637837345,-0.3
dr_bis,0.028084646292565407,-0.3
ips_estimator,0.002702317702898662,-0.3
Direct,0.1276694248636161,-0.3
doubly robust estimator,0.14038718103598408,-0.3
cmebis,0.0366862052647999,-0.3
dr_bis,0.03668595231501185,-0.3
ips_estimator,0.000863667205827494,-0.3
Direct,0.16744963714471212,-0.3
doubly robust estimator,0.156952676238294,-0.3
cmebis,0.037823695756781586,-0.3
dr_bis,0.037823567922865384,-0.3
ips_estimator,0.0060390112758232336,-0.3
Direct,0.1264811802430192,-0.3
doubly robust estimator,0.16051499700251734,-0.3
cmebis,0.042377020142144235,-0.3
dr_bis,0.042376802603390086,-0.3
ips_estimator,0.0037154104894658486,-0.3
Direct,0.1542601788073342,-0.3
doubly robust estimator,0.15077814658335234,-0.3
cmebis,0.045369220332223785,-0.3
dr_bis,0.04536913373457829,-0.3
ips_estimator,0.07144928849378586,-0.3
Direct,0.17573203718927,-0.3
doubly robust estimator,0.21144918817347627,-0.3
cmebis,0.06921848714476389,-0.3
dr_bis,0.0692184514411325,-0.3
ips_estimator,0.05473710317698921,-0.3
Direct,0.1609637003392036,-0.3
doubly robust estimator,0.17394424052322008,-0.3
cmebis,0.00384883264412368,-0.3
dr_bis,0.0038488326532754467,-0.3
ips_estimator,0.0056036974379691665,-0.3
Direct,0.17283541905851346,-0.3
doubly robust estimator,0.1850917684361155,-0.3
cmebis,0.03891468747420724,-0.3
dr_bis,0.038914611081522624,-0.3
ips_estimator,0.042335581694342164,-0.3
Direct,0.1597644912145559,-0.3
doubly robust estimator,0.13209875763464637,-0.3
cmebis,0.012981298059318427,-0.3
dr_bis,0.012981314843818868,-0.3
ips_estimator,0.0008253923182273452,-0.3
Direct,0.15965903709084467,-0.3
