Estimator,MSE,alpha_multiplier
ips_estimator,0.19210610503235168,-0.9
Direct,0.26462658809595535,-0.9
doubly robust estimator,0.16572749426551206,-0.9
cmebis,0.10154904554507692,-0.9
dr_bis,0.1015490455552239,-0.9
ips_estimator,0.2546782392237193,-0.9
Direct,0.2959797641148286,-0.9
doubly robust estimator,0.24469017589769668,-0.9
cmebis,0.07661217532452881,-0.9
dr_bis,0.07661217535179655,-0.9
ips_estimator,0.07139075829108499,-0.9
Direct,0.2518992713992871,-0.9
doubly robust estimator,0.20502675253782388,-0.9
cmebis,0.19360624107447388,-0.9
dr_bis,0.19360620808172382,-0.9
ips_estimator,0.1673961395024279,-0.9
Direct,0.2755698950179364,-0.9
doubly robust estimator,0.20399158948048135,-0.9
cmebis,0.20224598992182244,-0.9
dr_bis,0.2022459941443136,-0.9
ips_estimator,6.787465380166775e-05,-0.9
Direct,0.19880437147560343,-0.9
doubly robust estimator,0.18882663521935836,-0.9
cmebis,0.15711845509837116,-0.9
dr_bis,0.15711839652222892,-0.9
ips_estimator,0.06144806626487583,-0.9
Direct,0.27757030992145,-0.9
doubly robust estimator,0.25235499653953597,-0.9
cmebis,0.1731716916488739,-0.9
dr_bis,0.17317164348297195,-0.9
ips_estimator,0.13639434454721608,-0.9
Direct,0.29980357703198995,-0.9
doubly robust estimator,0.1740680903653997,-0.9
cmebis,0.03705746533338022,-0.9
dr_bis,0.03705746534158622,-0.9
ips_estimator,0.026936102465433646,-0.9
Direct,0.2625788056367064,-0.9
doubly robust estimator,0.2673197055739592,-0.9
cmebis,0.14146946588318646,-0.9
dr_bis,0.14146946587280232,-0.9
ips_estimator,0.052981854973798606,-0.9
Direct,0.2521108115551484,-0.9
doubly robust estimator,0.19209743797555745,-0.9
cmebis,0.1674242797040493,-0.9
dr_bis,0.16742424904218162,-0.9
ips_estimator,0.08310944529217183,-0.9
Direct,0.24171849203558635,-0.9
doubly robust estimator,0.2516091930199875,-0.9
cmebis,0.1192810052341905,-0.9
dr_bis,0.11928099623775407,-0.9
ips_estimator,0.04127457675122101,-0.9
Direct,0.2425990453211438,-0.9
doubly robust estimator,0.2221800577918991,-0.9
cmebis,0.16391663377940469,-0.9
dr_bis,0.16391659235308742,-0.9
ips_estimator,0.04848284256281122,-0.9
Direct,0.31699186267640733,-0.9
doubly robust estimator,0.13941023132168268,-0.9
cmebis,0.18293394114450967,-0.9
dr_bis,0.1829338959709896,-0.9
ips_estimator,0.21716878636597306,-0.9
Direct,0.32692009477973255,-0.9
doubly robust estimator,0.2174747466281992,-0.9
cmebis,0.08411984922499166,-0.9
dr_bis,0.08411984923082873,-0.9
ips_estimator,0.1297401011929612,-0.9
Direct,0.27601010000707304,-0.9
doubly robust estimator,0.23990407464139119,-0.9
cmebis,0.07180012364386165,-0.9
dr_bis,0.07180012364150339,-0.9
ips_estimator,0.03671063667443287,-0.9
Direct,0.2893153846588357,-0.9
doubly robust estimator,0.28918307481966216,-0.9
cmebis,0.17816329685434223,-0.9
dr_bis,0.17816326796655624,-0.9
ips_estimator,0.023917268256815703,-0.9
Direct,0.2663231253792482,-0.9
doubly robust estimator,0.5015237217211839,-0.9
cmebis,0.16427591201103323,-0.9
dr_bis,0.16427587247110023,-0.9
ips_estimator,0.015505000689532587,-0.9
Direct,0.26909260866341556,-0.9
doubly robust estimator,0.19894895816509886,-0.9
cmebis,0.06335747096193649,-0.9
dr_bis,0.06335747092662773,-0.9
ips_estimator,0.18027601880805533,-0.9
Direct,0.26175319483435433,-0.9
doubly robust estimator,0.25764004180578315,-0.9
cmebis,0.17981797723608894,-0.9
dr_bis,0.1798180147250785,-0.9
ips_estimator,0.04551457007181207,-0.9
Direct,0.3830092466096767,-0.9
doubly robust estimator,0.18138986717902558,-0.9
cmebis,0.2227072861247527,-0.9
dr_bis,0.22270725011465417,-0.9
ips_estimator,0.022607687502206573,-0.9
Direct,0.2550760517776203,-0.9
doubly robust estimator,0.231714062840355,-0.9
cmebis,0.07804826104941191,-0.9
dr_bis,0.07804826103922574,-0.9
ips_estimator,0.013060938059292775,-0.9
Direct,0.2394575005007335,-0.9
doubly robust estimator,0.23061929317856233,-0.9
cmebis,0.09421925636618125,-0.9
dr_bis,0.09421924576897735,-0.9
ips_estimator,0.029209857037929467,-0.9
Direct,0.20407748498301834,-0.9
doubly robust estimator,0.14717560656135661,-0.9
cmebis,0.03639722755197796,-0.9
dr_bis,0.036397227545280096,-0.9
ips_estimator,0.0951116557829531,-0.9
Direct,0.23605891757588418,-0.9
doubly robust estimator,0.2602981994661247,-0.9
cmebis,0.11056944602486918,-0.9
dr_bis,0.11056944561240543,-0.9
ips_estimator,0.3011756721725605,-0.9
Direct,0.29010892078896255,-0.9
doubly robust estimator,0.15151622099950085,-0.9
cmebis,0.16774783873500715,-0.9
dr_bis,0.167747901135376,-0.9
ips_estimator,0.00799529784108214,-0.9
Direct,0.2834453684542429,-0.9
doubly robust estimator,0.1769237965326048,-0.9
cmebis,0.1571277864934471,-0.9
dr_bis,0.15712774585022404,-0.9
ips_estimator,0.0372102526862394,-0.9
Direct,0.23027941244999325,-0.9
doubly robust estimator,0.166156114835131,-0.9
cmebis,0.09505679136070852,-0.9
dr_bis,0.09505679137651944,-0.9
ips_estimator,0.22222000832688926,-0.9
Direct,0.3719682632479092,-0.9
doubly robust estimator,0.19794235184722053,-0.9
cmebis,0.21132232231703388,-0.9
dr_bis,0.21132232434222706,-0.9
ips_estimator,0.03820070795936989,-0.9
Direct,0.2741142504352134,-0.9
doubly robust estimator,0.3270046298332342,-0.9
cmebis,0.1667495023989324,-0.9
dr_bis,0.1667495023813192,-0.9
ips_estimator,0.17384407319085815,-0.9
Direct,0.24739379061638736,-0.9
doubly robust estimator,0.22984760149988975,-0.9
cmebis,0.050426818786654684,-0.9
dr_bis,0.05042681879171843,-0.9
ips_estimator,0.037983092075798884,-0.9
Direct,0.20698157104347162,-0.9
doubly robust estimator,0.2064105773370503,-0.9
cmebis,0.18781518761745322,-0.9
dr_bis,0.18781515690229938,-0.9
ips_estimator,0.059532776171055846,-0.7
Direct,0.18677497793334685,-0.7
doubly robust estimator,0.16906504248150545,-0.7
cmebis,0.09703741250955392,-0.7
dr_bis,0.09703737122195853,-0.7
ips_estimator,0.01371215142399146,-0.7
Direct,0.12778978558401405,-0.7
doubly robust estimator,0.12486899360686081,-0.7
cmebis,0.0819730184981397,-0.7
dr_bis,0.08197290216932784,-0.7
ips_estimator,0.08686278815258655,-0.7
Direct,0.16746466676504337,-0.7
doubly robust estimator,0.1480645489473541,-0.7
cmebis,0.03465792759735692,-0.7
dr_bis,0.034657927600042306,-0.7
ips_estimator,0.052823923977824185,-0.7
Direct,0.21287331931527317,-0.7
doubly robust estimator,0.12570100751587845,-0.7
cmebis,0.10007341767623476,-0.7
dr_bis,0.10007339724992893,-0.7
ips_estimator,0.019885309971311747,-0.7
Direct,0.17585070975142822,-0.7
doubly robust estimator,0.16076461201139824,-0.7
cmebis,0.0889470555869806,-0.7
dr_bis,0.08894700889784009,-0.7
ips_estimator,0.0018847456382124043,-0.7
Direct,0.15786353170574205,-0.7
doubly robust estimator,0.1205592417153426,-0.7
cmebis,0.09185445289121733,-0.7
dr_bis,0.09185419346003958,-0.7
ips_estimator,0.01973857878969866,-0.7
Direct,0.1810804404967866,-0.7
doubly robust estimator,0.16701492083540068,-0.7
cmebis,0.04835317320147991,-0.7
dr_bis,0.048353129538610554,-0.7
ips_estimator,0.02175661202102371,-0.7
Direct,0.16695170509655352,-0.7
doubly robust estimator,0.10659027589317731,-0.7
cmebis,0.06712697569951721,-0.7
dr_bis,0.0671269371520149,-0.7
ips_estimator,0.0698896255886582,-0.7
Direct,0.2246875030244654,-0.7
doubly robust estimator,0.21726624809100845,-0.7
cmebis,0.07034574178108849,-0.7
dr_bis,0.07034572553395646,-0.7
ips_estimator,0.07758839685250563,-0.7
Direct,0.20920771621723933,-0.7
