Estimator,MSE,context_dim
ips_estimator,4.809988883153006e-05,20
Direct,0.266402140557728,20
doubly robust estimator,0.31859867889247184,20
cmebis,0.05522012540479061,20
dr_bis,0.05522012539462964,20
ips_estimator,0.13528161945470385,20
Direct,0.3219378048684433,20
doubly robust estimator,0.34942785743593985,20
cmebis,0.1833712502743293,20
dr_bis,0.1833712065447652,20
ips_estimator,0.0013276280757370462,20
Direct,0.23355550023834795,20
doubly robust estimator,0.2805757354932489,20
cmebis,0.13143211300719682,20
dr_bis,0.131432019602184,20
ips_estimator,0.002397645076936237,20
Direct,0.38607037850109455,20
doubly robust estimator,0.3844111188938957,20
cmebis,0.1706714012480447,20
dr_bis,0.17067128214366917,20
ips_estimator,0.41474668907179413,20
Direct,0.3796303159934413,20
doubly robust estimator,0.30306504936003253,20
cmebis,0.06693449495281215,20
dr_bis,0.06693449495246069,20
ips_estimator,0.0020901193538165686,20
Direct,0.33043544776075034,20
doubly robust estimator,0.3108641683878466,20
cmebis,0.1764912135532849,20
dr_bis,0.1764911781733461,20
ips_estimator,0.08028009297810487,20
Direct,0.33322701039383174,20
doubly robust estimator,0.2868614927387933,20
cmebis,0.0634637604546642,20
dr_bis,0.06346376044836749,20
ips_estimator,0.001990241393253915,20
Direct,0.27966274586640805,20
doubly robust estimator,0.2929894936124904,20
cmebis,0.034761808466890746,20
dr_bis,0.034761808446918015,20
ips_estimator,0.5998250011522416,20
Direct,0.2513137455237984,20
doubly robust estimator,0.21495821698409331,20
cmebis,0.04609247902467312,20
dr_bis,0.04609247904564116,20
ips_estimator,0.060933050229709976,20
Direct,0.37456708103451736,20
doubly robust estimator,0.3258128102924936,20
cmebis,0.0862297721957756,20
dr_bis,0.08622977219534826,20
ips_estimator,0.013175792933576737,20
Direct,0.3025734552147619,20
doubly robust estimator,0.3260735062072954,20
cmebis,0.166893448435488,20
dr_bis,0.1668934302827283,20
ips_estimator,0.03719296528286167,20
Direct,0.25576423931301784,20
doubly robust estimator,0.2942278078592681,20
cmebis,0.1474611136345344,20
dr_bis,0.14746109886324985,20
ips_estimator,0.013041106883908539,20
Direct,0.28272601771360395,20
doubly robust estimator,0.19559407120509847,20
cmebis,0.12999198027601291,20
dr_bis,0.1299919718298596,20
ips_estimator,0.16616188885281227,20
Direct,0.35440955659741835,20
doubly robust estimator,0.31588518964639034,20
cmebis,0.06238252637800218,20
dr_bis,0.06238252637897748,20
ips_estimator,0.0014744238664347207,20
Direct,0.2780443704481671,20
doubly robust estimator,0.2956267564660359,20
cmebis,0.13654470563975557,20
dr_bis,0.13654463051215798,20
ips_estimator,0.0010661997184248267,20
Direct,0.2904989464558313,20
doubly robust estimator,0.2681683234568228,20
cmebis,0.14283177814105583,20
dr_bis,0.1428317665284983,20
ips_estimator,0.06210230619545188,20
Direct,0.3577819796868232,20
doubly robust estimator,0.2740335648941086,20
cmebis,0.06906112333945524,20
dr_bis,0.06906112334034528,20
ips_estimator,0.00392048039351001,20
Direct,0.3167047263027199,20
doubly robust estimator,0.2941100742181795,20
cmebis,0.08830739177592194,20
dr_bis,0.0883073917556011,20
ips_estimator,0.00876390018774768,20
Direct,0.32284073340110137,20
doubly robust estimator,0.2934512553104394,20
cmebis,0.1466037518175349,20
dr_bis,0.14660373996704196,20
ips_estimator,0.1016428633187814,20
Direct,0.3079301832769176,20
doubly robust estimator,0.2843314868275064,20
cmebis,0.13752889821627176,20
dr_bis,0.137528894737502,20
ips_estimator,0.0014205609895789363,20
Direct,0.31184214083698714,20
doubly robust estimator,0.27250178785861073,20
cmebis,0.04784865057508303,20
dr_bis,0.04784865055448518,20
ips_estimator,0.09238023502094257,20
Direct,0.29953875766162413,20
doubly robust estimator,0.28477151793290423,20
cmebis,0.17153865051402734,20
dr_bis,0.17153862145197277,20
ips_estimator,0.007641405600800098,20
Direct,0.39421299931396275,20
