Estimator,MSE,Observation Size
ips_estimator,0.012436450532837106,5000
Direct,0.09915988440275601,5000
doubly robust estimator,0.04147485151619103,5000
cmebis,9.25067411395992e-06,5000
dr_bis,9.250805280114424e-06,5000
ips_estimator,0.0005343676716222941,5000
Direct,0.10406704481810372,5000
doubly robust estimator,0.09514150833079718,5000
cmebis,5.6668356961112274e-05,5000
dr_bis,5.666835261133966e-05,5000
ips_estimator,0.0029891989394079423,5000
Direct,0.11662804981018003,5000
doubly robust estimator,0.027166801617724504,5000
cmebis,0.0011363386324553723,5000
dr_bis,0.0011363386603677069,5000
ips_estimator,0.11470713143772149,5000
Direct,0.1283504001673882,5000
doubly robust estimator,0.031755433647653944,5000
cmebis,0.0032329183594081755,5000
dr_bis,0.0032329564826547664,5000
ips_estimator,0.00026226662102649063,5000
Direct,0.11022902205999519,5000
doubly robust estimator,0.0267048734523177,5000
cmebis,0.011956604680222842,5000
dr_bis,0.011956503223687971,5000
ips_estimator,0.058367810835748976,5000
Direct,0.06716326974285934,5000
doubly robust estimator,0.08711450389600303,5000
cmebis,0.017885916255325516,5000
dr_bis,0.01788596324428163,5000
ips_estimator,0.0006938276976225734,5000
Direct,0.1121254345626734,5000
doubly robust estimator,0.06984063217632801,5000
cmebis,0.0033837460658721233,5000
dr_bis,0.0033837460828297656,5000
ips_estimator,0.04589422244767902,5000
Direct,0.1011777625652646,5000
doubly robust estimator,0.03454924792083306,5000
cmebis,0.018158432362533665,5000
dr_bis,0.018158440603432982,5000
ips_estimator,0.0004982379194032443,5000
Direct,0.11971782580423304,5000
doubly robust estimator,0.08102100881076939,5000
cmebis,0.0019840647580279466,5000
dr_bis,0.0019840426087955653,5000
ips_estimator,0.01922303285386979,5000
Direct,0.07718694968959136,5000
doubly robust estimator,0.07342841363402991,5000
cmebis,0.021115336990758182,5000
dr_bis,0.02111528681801629,5000
ips_estimator,0.006124019471037259,5000
Direct,0.0858860573031999,5000
doubly robust estimator,0.02311999217993838,5000
cmebis,0.02382552755500278,5000
dr_bis,0.023825451058815825,5000
ips_estimator,0.0009833294307771906,5000
Direct,0.11168977784555874,5000
doubly robust estimator,0.10173941615023425,5000
cmebis,0.0009060069853234858,5000
dr_bis,0.0009060069593061553,5000
ips_estimator,0.005707243692747326,5000
Direct,0.11260638626458348,5000
doubly robust estimator,0.044048087154854566,5000
cmebis,0.01369031833960879,5000
dr_bis,0.013690257036507803,5000
ips_estimator,0.00470348395332627,5000
Direct,0.09391328045170702,5000
doubly robust estimator,0.05621831997990516,5000
cmebis,0.0010475545172145666,5000
dr_bis,0.0010475545031946758,5000
ips_estimator,0.020976033483426852,5000
Direct,0.07905273787323622,5000
doubly robust estimator,0.048121854949104606,5000
cmebis,0.00016551638744603645,5000
dr_bis,0.00016551639090968263,5000
ips_estimator,0.002308949263514509,5000
Direct,0.06946984641217195,5000
doubly robust estimator,0.0605441134333705,5000
cmebis,0.0017754008894080987,5000
dr_bis,0.0017754008411761137,5000
ips_estimator,0.02266918518728393,5000
Direct,0.08853013080206389,5000
doubly robust estimator,0.0406208360498024,5000
cmebis,0.018433244945498656,5000
dr_bis,0.018433212107911896,5000
ips_estimator,0.012246357440517174,5000
Direct,0.08165328492480163,5000
doubly robust estimator,0.05875828571710893,5000
cmebis,0.018929760458813182,5000
dr_bis,0.018929718799156364,5000
ips_estimator,0.022450395135947494,5000
Direct,0.10500757316682532,5000
doubly robust estimator,0.05056198601109506,5000
cmebis,0.0017123276323178058,5000
dr_bis,0.0017123276237894023,5000
ips_estimator,7.771305264570083e-05,5000
Direct,0.16673636346641124,5000
doubly robust estimator,0.043717051770632086,5000
cmebis,0.006629354831767672,5000
dr_bis,0.006629307141712371,5000
ips_estimator,0.08423813233679678,5000
Direct,0.11275718413926923,5000
doubly robust estimator,0.0708444896719613,5000
cmebis,0.0038029741848317022,5000
dr_bis,0.003802974663387526,5000
ips_estimator,0.006288816599363743,5000
Direct,0.09301373270966655,5000
doubly robust estimator,0.09483310445221668,5000
cmebis,0.001022620117399659,5000
dr_bis,0.0010226140529545984,5000
ips_estimator,0.008593575133397155,5000
Direct,0.09919012363203732,5000
doubly robust estimator,0.060650126898064136,5000
cmebis,3.1330912098505576e-05,5000
dr_bis,3.133069288519576e-05,5000
ips_estimator,0.29738775173522264,5000
Direct,0.1534397134764174,5000
doubly robust estimator,0.10105346677148287,5000
cmebis,0.02481956858173181,5000
dr_bis,0.024820386655495207,5000
ips_estimator,0.020087702464181123,5000
Direct,0.05859694360252901,5000
doubly robust estimator,0.04231327114343769,5000
cmebis,0.007553257535586901,5000
dr_bis,0.007553257492831491,5000
ips_estimator,0.005349840035442976,5000
Direct,0.07688285791701538,5000
doubly robust estimator,0.022567236677983236,5000
cmebis,0.013189924979504634,5000
dr_bis,0.013189763426843058,5000
ips_estimator,0.004058789042985695,5000
Direct,0.11421214230055016,5000
doubly robust estimator,0.03657963887926314,5000
cmebis,0.0002884250009276426,5000
dr_bis,0.00028842352564548536,5000
ips_estimator,0.014882084269673137,5000
Direct,0.0906166675605641,5000
doubly robust estimator,0.01635597934786185,5000
cmebis,1.8495108465328002e-06,5000
dr_bis,1.8495146589134152e-06,5000
ips_estimator,0.01867983595805302,5000
Direct,0.05696420710326657,5000
doubly robust estimator,0.04155741874558725,5000
cmebis,5.293935273163208e-05,5000
dr_bis,5.293936190809942e-05,5000
ips_estimator,0.035718906712382356,5000
Direct,0.1346063634443397,5000
doubly robust estimator,0.09638464902120422,5000
cmebis,0.016622241517787482,5000
dr_bis,0.016622272150812988,5000
