Estimator,MSE,n_reco
ips_estimator,0.01591580900161333,2
Direct,0.0739910483093411,2
doubly robust estimator,0.048750240634445274,2
cmebis,0.0013820405189077136,2
dr_bis,0.001382187227826976,2
ips_estimator,0.006525703243751303,2
Direct,0.10866051614375177,2
doubly robust estimator,0.03150479314178844,2
cmebis,0.005104464762852233,2
dr_bis,0.004904564876574177,2
ips_estimator,0.0034433280947879026,2
Direct,0.07769333799550006,2
doubly robust estimator,0.033078524601776564,2
cmebis,0.001313094102029252,2
dr_bis,0.001181894629946439,2
ips_estimator,0.003692742102293779,2
Direct,0.11145524281869441,2
doubly robust estimator,0.04153085602516751,2
cmebis,0.011641715313211646,2
dr_bis,0.011641716274202464,2
ips_estimator,0.005471747632998119,2
Direct,0.10676609021740797,2
doubly robust estimator,0.05948383135945072,2
cmebis,0.002677679821125632,2
dr_bis,0.0026777704366573053,2
ips_estimator,0.0015673625867303456,2
Direct,0.09354198759297122,2
doubly robust estimator,0.04190319011124732,2
cmebis,0.013095731212540929,2
dr_bis,0.013095005073278468,2
ips_estimator,0.0017859484070820479,2
Direct,0.09725351724424945,2
doubly robust estimator,0.08700751593973584,2
cmebis,0.009127451235638467,2
dr_bis,0.00909054992016101,2
ips_estimator,0.0005632390649552669,2
Direct,0.10342263327457622,2
doubly robust estimator,0.06841500591907042,2
cmebis,0.0029071730827475773,2
dr_bis,0.002958792977129864,2
ips_estimator,0.014721699184741612,2
Direct,0.11349555361367049,2
doubly robust estimator,0.06614445881423227,2
cmebis,0.00838680362328368,2
dr_bis,0.008200640403321129,2
ips_estimator,0.01696033403055083,2
Direct,0.12123611326454038,2
doubly robust estimator,0.08266127487692393,2
cmebis,0.00979937881536728,2
dr_bis,0.009620462825692809,2
ips_estimator,0.005488027254837266,2
Direct,0.09333533116962037,2
doubly robust estimator,0.08573111306726529,2
cmebis,0.019805344464574277,2
dr_bis,0.01980588350302286,2
ips_estimator,0.00895481250886408,2
Direct,0.11971980113471786,2
doubly robust estimator,0.10846481898216932,2
cmebis,0.00028848379813798644,2
dr_bis,0.00028810195297168396,2
ips_estimator,0.004093769498205693,2
Direct,0.06553823268503113,2
doubly robust estimator,0.04398783708669912,2
cmebis,0.0006539357601410581,2
dr_bis,0.0006078514014558116,2
ips_estimator,0.004581345869517713,2
Direct,0.11213777934024319,2
doubly robust estimator,0.10248546682407383,2
cmebis,0.0072742336463816094,2
dr_bis,0.00701173440105308,2
ips_estimator,0.005057546658760988,2
Direct,0.11663178805302084,2
doubly robust estimator,0.11478812553467799,2
cmebis,0.004321264987807338,2
dr_bis,0.004311259675436985,2
ips_estimator,0.002334549610117604,2
Direct,0.08081501007511104,2
doubly robust estimator,0.07650319601120603,2
cmebis,0.0027331472918140404,2
dr_bis,0.0024965333216682654,2
ips_estimator,9.652451444569766e-05,2
Direct,0.08079037019132378,2
doubly robust estimator,0.0278984695624958,2
cmebis,0.007881257037767849,2
dr_bis,0.00787459639131881,2
ips_estimator,0.007063149030359715,2
Direct,0.08843544614014505,2
doubly robust estimator,0.060298612764186535,2
cmebis,0.0007638476425007849,2
dr_bis,0.0006696245339692188,2
ips_estimator,0.022490213746773163,2
Direct,0.11009761025370092,2
doubly robust estimator,0.03909311223614678,2
cmebis,0.000372886927838442,2
dr_bis,0.0003392594944693995,2
ips_estimator,0.0022991635318204817,2
Direct,0.08096948577856665,2
doubly robust estimator,0.04365019929420595,2
cmebis,0.009615831349569202,2
dr_bis,0.009616107954852474,2
ips_estimator,0.006470504137751755,2
Direct,0.08450447108955778,2
doubly robust estimator,0.050032450202700834,2
cmebis,0.015561480162319069,2
dr_bis,0.015557923069320101,2
ips_estimator,0.005882968558071475,2
Direct,0.1096713647957378,2
doubly robust estimator,0.1128424764259866,2
cmebis,0.0008720766801136241,2
dr_bis,0.0009171289388489811,2
ips_estimator,0.0019360255777838915,2
Direct,0.054261243782997105,2
doubly robust estimator,0.006747664658402895,2
cmebis,2.827099559344491e-05,2
dr_bis,1.877277972375335e-05,2
ips_estimator,0.003551971809927739,2
Direct,0.10906848100432195,2
doubly robust estimator,0.027391316520475235,2
cmebis,0.0035316076009433706,2
dr_bis,0.003498845164459083,2
ips_estimator,0.00032528400475640855,2
Direct,0.10341637984097178,2
doubly robust estimator,0.0290631421125365,2
cmebis,0.020989335798775717,2
dr_bis,0.020989897722867572,2
ips_estimator,0.004744126393173704,2
Direct,0.1162725000008453,2
doubly robust estimator,0.06165684982975487,2
cmebis,0.002724809097992284,2
dr_bis,0.002572585406429966,2
ips_estimator,0.01719031349909627,2
Direct,0.07187223284158252,2
doubly robust estimator,0.12023988585339448,2
cmebis,0.004740689055452146,2
dr_bis,0.004652369397163377,2
ips_estimator,0.009263390428448717,2
Direct,0.07442020251066486,2
doubly robust estimator,0.052173290108635695,2
cmebis,0.006423273902735396,2
dr_bis,0.00622634483366519,2
ips_estimator,0.0031607832145843697,2
Direct,0.06064765497960963,2
doubly robust estimator,0.009183152295350836,2
cmebis,5.4930625530201805e-05,2
dr_bis,5.7752565881049056e-05,2
ips_estimator,0.0006245807135651308,2
Direct,0.05255294116094118,2
doubly robust estimator,0.005624131908137377,2
cmebis,0.0008641840810138216,2
dr_bis,0.0008642194089582178,2
ips_estimator,0.03412217878166064,3
Direct,0.1440833886915026,3
doubly robust estimator,0.07673833695810343,3
cmebis,0.011864486194405197,3
dr_bis,0.011864494832069503,3
ips_estimator,0.004942129588516736,3
Direct,0.13257595434204858,3
doubly robust estimator,0.10686233325305908,3
cmebis,0.0005526817675923578,3
dr_bis,0.0005530716368895164,3
ips_estimator,0.011434647218595766,3
Direct,0.09286363972304958,3
doubly robust estimator,0.08311131030966157,3
cmebis,0.0008422654852564475,3
dr_bis,0.0008422638360232039,3
ips_estimator,0.000343439278917281,3
Direct,0.12382984082695452,3
doubly robust estimator,0.0586918255421576,3
cmebis,0.009669532770919084,3
dr_bis,0.009618677986256352,3
ips_estimator,0.005818631983306604,3
Direct,0.12029597527959933,3
doubly robust estimator,0.106623143842202,3
cmebis,0.0017359128182633883,3
dr_bis,0.0017358959333825088,3
ips_estimator,0.005914795455019984,3
Direct,0.09617851765655203,3
doubly robust estimator,0.0927496755056203,3
cmebis,0.005669925011347906,3
dr_bis,0.005669931764936603,3
ips_estimator,0.01739818318595571,3
Direct,0.12027685341996033,3
doubly robust estimator,0.09864489185641988,3
cmebis,0.018589987624389483,3
dr_bis,0.01858664641461615,3
ips_estimator,0.0005307727788780056,3
Direct,0.10220391857246458,3
doubly robust estimator,0.06076645033173871,3
cmebis,0.0052591545650049944,3
dr_bis,0.005259160644870171,3
ips_estimator,0.003729084487299982,3
Direct,0.09105720040945475,3
doubly robust estimator,0.09932427100977935,3
cmebis,0.014272649937991336,3
dr_bis,0.014249315547801093,3
ips_estimator,0.08225196036404063,3
Direct,0.09762482806519672,3
doubly robust estimator,0.13263525636264623,3
cmebis,0.019490047733319107,3
dr_bis,0.019504280419723782,3
ips_estimator,0.01258465794783349,3
Direct,0.09202777484888187,3
doubly robust estimator,0.10615509535626286,3
cmebis,0.0024794076763385905,3
dr_bis,0.0024794015744723976,3
ips_estimator,0.002405955389505452,3
Direct,0.10017835929266929,3
doubly robust estimator,0.07811058794273053,3
cmebis,0.005820793923050965,3
dr_bis,0.00582079834655466,3
ips_estimator,0.015247320275718524,3
Direct,0.10104740814401456,3
doubly robust estimator,0.06254861687788568,3
cmebis,0.024008954209782607,3
dr_bis,0.02399797519881673,3
ips_estimator,0.012135730596962909,3
Direct,0.09026611104919804,3
doubly robust estimator,0.08342726587786711,3
cmebis,0.010133286678945511,3
dr_bis,0.010062783778747987,3
ips_estimator,0.01563155224608257,3
Direct,0.1254386323848078,3
doubly robust estimator,0.14070561059234415,3
cmebis,0.0009231155662467335,3
dr_bis,0.0009231208808942417,3
ips_estimator,0.010249409998008097,3
Direct,0.11316750591416791,3
doubly robust estimator,0.058300803276691515,3
cmebis,2.9940043529220015e-07,3
dr_bis,2.993826332564735e-07,3
ips_estimator,0.002919937489270893,3
Direct,0.11352933676232023,3
doubly robust estimator,0.07858304381443186,3
cmebis,9.969021299906182e-06,3
dr_bis,9.96951493625414e-06,3
ips_estimator,0.009031729217033383,3
Direct,0.09765911953769049,3
doubly robust estimator,0.12423548126592111,3
cmebis,0.017309905832137002,3
dr_bis,0.017309898073584185,3
ips_estimator,0.0023189654131022044,3
Direct,0.1293600101533663,3
doubly robust estimator,0.08624643642346054,3
