Estimator,MSE,n_users
ips_estimator,0.0019940135987871785,50
Direct,0.1232586485812243,50
doubly robust estimator,0.05450881255292323,50
cmebis,0.0030387467357292143,50
dr_bis,0.0030387467157511746,50
ips_estimator,1.5522541824475472e-05,50
Direct,0.19759576534593204,50
doubly robust estimator,0.1209476896547422,50
cmebis,0.03159015105002298,50
dr_bis,0.03159009314082774,50
ips_estimator,0.011932996734161,50
Direct,0.11999770001461356,50
doubly robust estimator,0.07704625149348,50
cmebis,0.023305209647911194,50
dr_bis,0.023305155420941782,50
ips_estimator,0.01899074873333956,50
Direct,0.18880765876917907,50
doubly robust estimator,0.16112435282267573,50
cmebis,0.04278352342145615,50
dr_bis,0.04278266282441281,50
ips_estimator,0.029518150738134612,50
Direct,0.1397717097219142,50
doubly robust estimator,0.16944473739385815,50
cmebis,0.030201031488692794,50
dr_bis,0.030201016803251674,50
ips_estimator,0.01378883229349866,50
Direct,0.15636904734795948,50
doubly robust estimator,0.14896749156720795,50
cmebis,0.02287776190634696,50
dr_bis,0.02287776189705033,50
ips_estimator,0.015520421919555027,50
Direct,0.14081250720966404,50
doubly robust estimator,0.07403609936108513,50
cmebis,0.004318855677861333,50
dr_bis,0.0043188526221203585,50
ips_estimator,0.03748681583838861,50
Direct,0.18156702153172788,50
doubly robust estimator,0.14458423393903466,50
cmebis,0.020503216073365093,50
dr_bis,0.020503216054788553,50
ips_estimator,0.020835977940401,50
Direct,0.16981131084410903,50
doubly robust estimator,0.08836349670744525,50
cmebis,0.020976063180094096,50
dr_bis,0.02097603093313032,50
ips_estimator,0.034769734420314134,50
Direct,0.17783983951852322,50
doubly robust estimator,0.1379447490715658,50
cmebis,0.03992434709117449,50
dr_bis,0.039924301554504965,50
ips_estimator,6.541599280324071e-05,50
Direct,0.11868306298301501,50
doubly robust estimator,0.0938236748787475,50
cmebis,0.0003957489632104705,50
dr_bis,0.0003957485650262859,50
ips_estimator,0.00028391053871411776,50
Direct,0.20188764003985948,50
doubly robust estimator,0.10105438262838126,50
cmebis,0.03942734596633829,50
dr_bis,0.03942682890874181,50
ips_estimator,0.008068373916100538,50
Direct,0.13469331761577782,50
doubly robust estimator,0.12491297837845884,50
cmebis,0.022720277598711754,50
dr_bis,0.022720180239750226,50
ips_estimator,0.04440506480822576,50
Direct,0.12593479918966416,50
doubly robust estimator,0.16306983723431595,50
cmebis,0.016890813460740325,50
dr_bis,0.016890813462605098,50
ips_estimator,0.009870300555060397,50
Direct,0.15073725810241728,50
doubly robust estimator,0.09281710570265927,50
cmebis,0.03357575667611873,50
